stock,variable,year,mean,sd,lower,upper,status
Ariidae,b_div_bmsy,2021,0.0649434713320778,7.39384455718849,4.38423002336624e-11,2.77861819815626,Overfished
Auxis thazard,b_div_bmsy,2021,0.246464213597773,5.65015963807651,3.37053810217678e-10,3.02923976171961,Overfished
Carangidae,b_div_bmsy,2021,1.05729495011322e-06,12.2375731660627,3.74017224842503e-12,1.28356950750875,Overfished
Caranx hippos,b_div_bmsy,2021,0.0141189273649194,8.73006689769056,7.35363957313608e-11,2.69289937403512,Overfished
Chloroscombrus chrysurus,b_div_bmsy,2021,0.809374276459005,3.38079072414346,0.385049717734314,2.92721583113705,Fully fished
Conger conger,b_div_bmsy,2021,6.12466685152561e-05,9.81894889811055,7.80799985866372e-11,1.52912655955156,Overfished
Dentex spp,b_div_bmsy,2021,1.34399013664152,1.08135956239785,0.611596273757627,2.66633621925032,Underfished
Elasmobranchii,b_div_bmsy,2021,1.43481987831934,0.670358310568367,0.769777543930549,2.46657061436763,Underfished
Epinephelus spp,b_div_bmsy,2021,4.08353795550584e-07,10.2145470678327,2.29373584420324e-11,1.71698082949224,Overfished
Galeoides decadactylus,b_div_bmsy,2021,0.872172885720785,2.82491477731435,0.327755909592634,2.88687107418441,Fully fished
Lutjanus spp,b_div_bmsy,2021,0.00704309073316015,9.51095452316209,1.18790171821658e-11,1.59794761433923,Overfished
Mollusca,b_div_bmsy,2021,0.000741718959230352,8.85824944216923,8.8613894223838e-10,1.68385203471572,Overfished
Mullus spp,b_div_bmsy,2021,0.00395929921469766,10.3186976785588,1.4555636036744e-11,2.33093828157961,Overfished
Orcynopsis unicolor,b_div_bmsy,2021,4.92824418750224e-05,5.00708239258124,8.87418895594279e-07,0.347515470322899,Overfished
Osteichthyes,b_div_bmsy,2021,0.00952232935663625,9.24484783463784,1.79754320498819e-11,2.01312347469634,Overfished
Pagellus erythrinus,b_div_bmsy,2021,0.19253748787854,3.68971542044321,0.0117107633619662,2.17830434822381,Overfished
Pagellus spp,b_div_bmsy,2021,0.0293326001868877,7.53605978989318,3.75713170475772e-11,1.12129150732882,Overfished
Pagrus spp,b_div_bmsy,2021,0.131409616164722,6.28631509187778,9.35320921755222e-11,2.70197176179956,Overfished
Pomadasys jubelini,b_div_bmsy,2021,0.0156225023551554,9.00819813572966,1.59329711455846e-11,2.34583748689056,Overfished
Pomatomus saltatrix,b_div_bmsy,2021,0.138033782391406,4.52920218282428,0.00340072421347526,1.64806042004019,Overfished
Pseudotolithus spp,b_div_bmsy,2021,0.000467220251056189,11.1229480348605,7.21991928362388e-12,1.47283525244409,Overfished
Pseudupeneus prayensis,b_div_bmsy,2021,0.469419576902598,5.05534394470649,0.301803687851359,2.76864402710649,Overfished
Rajiformes,b_div_bmsy,2021,1.05505964103432,2.49088464835053,0.588311046779303,2.54571460496362,Fully fished
Sepia officinalis,b_div_bmsy,2021,8.22412883298933e-10,0.0683218143782165,7.4204750147828e-10,9.19253838492979e-10,Overfished
Serranidae,b_div_bmsy,2021,0.908551644311509,2.30256135082212,0.378291252915811,2.63423782959109,Fully fished
Sparidae,b_div_bmsy,2021,0.159177327256901,4.59937376805333,0.0379467370120805,0.871449387780861,Overfished
Triglidae,b_div_bmsy,2021,0.574471003064371,4.19770493125852,0.245871905295314,2.70846090374821,Overfished
Trisopterus luscus,b_div_bmsy,2021,0.247134152710567,5.66126705388489,1.25082834756884e-10,2.68646236796918,Overfished
