variable,year,mean,sd,lower,upper
b_t,1950,1944602.45497036,1849970.22081692,462939.044274674,5009676.72789999
b_t,1951,326542.743741765,355276.085453211,60979.1946220269,856717.275655431
b_t,1952,200879.551463108,236060.924894793,35365.3812595901,553118.655457734
b_t,1953,183823.481656256,200993.652260315,34288.7231009204,503734.550811688
b_t,1954,317839.348870115,344268.898060513,56288.1284162449,877008.312630107
b_t,1955,506443.293330321,573340.42844403,91608.927754664,1511119.12059517
b_t,1956,685389.245292468,759761.46190375,119524.49590177,1950893.5351377
b_t,1957,711545.65502294,790979.844240693,121988.642460459,1996162.60241253
b_t,1958,684828.220428106,812462.389241319,118495.544723579,1792515.08119236
b_t,1959,575235.941971129,663331.279393837,104191.88475808,1602127.51869158
b_t,1960,551952.264031266,601490.618823147,97015.8207719067,1468855.84011477
b_t,1961,582033.537550635,654425.01162447,102841.323513157,1623917.75426585
b_t,1962,477564.472255958,535050.378491719,88255.6494841228,1388030.72971579
b_t,1963,433098.72239997,463161.539287215,78105.238692157,1177096.34081511
b_t,1964,457362.724730398,508280.950522058,79163.794535659,1312398.01328444
b_t,1965,487418.490975177,538078.532150591,86594.2932961566,1344754.14557816
b_t,1966,483824.847612501,513531.464699154,86645.5549973179,1365007.95958113
b_t,1967,473649.481094736,505160.129623804,80267.8140347606,1365226.09216388
b_t,1968,512340.98834126,533586.117058059,93464.1131195052,1442339.47335355
b_t,1969,669835.968305938,757299.243232297,113988.068815209,1905225.04133831
b_t,1970,1012042.0477503,1104636.39728407,174470.885177683,2819594.17145484
b_t,1971,1436308.33659065,1633233.35515238,256483.077176515,3937972.72924762
b_t,1972,1564389.91340174,1687640.22664854,287773.584714751,4258834.42874119
b_t,1973,1379857.37095581,1626262.38641844,240574.093102055,3812037.72967617
b_t,1974,1917498.78492488,2346515.8011013,329123.529774562,5217227.52230124
b_t,1975,2276722.19431095,2886060.26595416,380082.826867463,6369759.52329543
b_t,1976,3002971.50590123,3541213.11748454,537406.27467166,8484323.22279096
b_t,1977,2799998.9645178,2878582.64638188,527794.973231198,7851578.61551262
b_t,1978,3390376.61116119,4069057.77180029,566802.487100161,9528599.12783317
