variable,year,mean,sd,lower,upper
b_t,1965,19422.5818170643,10241.216213065,8999.96401466235,36348.1004362561
b_t,1966,16248.219293602,10306.7251645566,7300.50691498165,35226.0254633763
b_t,1967,19567.3330615493,13631.0316400683,4690.9985945913,44527.5452179926
b_t,1968,23761.5345502678,17319.4084462136,5351.15071852926,54750.8440250936
b_t,1969,21568.6678377325,15575.2708927793,6133.27507726026,49201.4029020836
b_t,1970,19253.0099213352,12993.6275646488,6747.10441302091,43169.4942245796
b_t,1971,24993.0501764154,16824.7664993929,9078.93419737319,54456.2197111298
b_t,1972,21299.2486190793,14371.0759011475,7489.71178877106,49120.7876990895
b_t,1973,22128.4866857757,16333.1402211154,6865.14029104519,51683.2387242257
b_t,1974,16881.433388897,13720.1537282588,3250.72415170643,39864.3526393054
b_t,1975,10034.8020815463,7506.16882943493,3523.52018912553,22813.1313770552
b_t,1976,11754.2518973853,8616.64779635413,3147.29292232542,27183.274692924
b_t,1977,14066.4776673992,11337.7913771413,4218.06319765603,32513.263801514
b_t,1978,7509.05046025432,5647.88498093439,1743.22020868723,17671.609438479
b_t,1979,3858.60826217799,2796.69145743742,1171.42984238693,8504.30779901543
b_t,1980,3877.58837609368,2835.79280568858,1349.86245004479,8909.29704323548
b_t,1981,4650.54212980318,3414.43205404028,911.214743325548,10702.1819318765
b_t,1982,6004.80470793886,4394.07157617408,1530.88490250035,13777.9048616147
b_t,1983,7544.91512368302,6083.15047801793,1049.47214366184,18439.2194956241
b_t,1984,6128.26751122791,4549.11268598233,1802.70486866064,14336.3966204957
b_t,1985,8840.31041449038,6311.31715781787,3324.84744425674,19737.5654396003
b_t,1986,6984.07928399994,5382.08280347237,1764.39669670083,16865.8280575887
b_t,1987,6250.99779653147,4311.78900600052,2237.52042384149,14252.0672711639
b_t,1988,6288.95105658141,4471.06453414166,2053.00158110336,15101.9416301567
b_t,1989,4376.0228147135,3184.10566405332,1297.41538478256,10109.9818932479
b_t,1990,3984.2440195266,3140.91826518258,859.779291207041,9361.26476936733
b_t,1991,3708.10880269338,2801.64757164326,758.130990156684,8490.95398195306
b_t,1992,5268.48227035843,3431.69784954991,2230.88045833341,11340.4236065653
b_t,1993,4255.21808289819,2958.91832866929,1111.36054381699,9676.86515521562
b_t,1994,4045.93396510578,2982.26555273712,883.432610776023,9168.87620185478
b_t,1995,3832.48738795413,2779.29628787549,999.526911672121,9265.18724646535
b_t,1996,3734.23959210906,2410.52387135152,1481.56381372102,8257.58223226478
b_t,1997,2760.97507126461,1979.71039489747,786.778283201909,6354.88090938822
b_t,1998,1830.6402435414,1332.28339909904,455.556926217025,4157.9009226779
b_t,1999,1060.52423443707,759.924549632784,324.279181079626,2439.46612858831
b_t,2000,1128.64949650741,815.409276993707,233.131680482151,2508.81574640766
b_t,2001,2494.70109712072,1666.68179841128,868.588081900602,5425.25899081057
b_t,2002,3337.14161871345,2312.89604838328,1022.60143005209,7554.13807449719
b_t,2003,3626.0774023525,2582.98666006989,1009.03479823253,8344.32567375442
b_t,2004,2643.14510951441,2005.90373656531,711.602281750584,6335.13279700026
b_t,2005,2309.65292256692,1645.49192838826,682.911870646249,5172.60081866509
b_t,2006,1944.63065863767,1264.91750066059,805.971072547932,4075.75070304199
b_t,2007,1904.68919702759,1311.93744015751,652.459910550096,4160.60371891464
b_t,2008,3029.15278781521,2003.47491656322,1159.52797898085,6542.98069835192
b_t,2009,2965.52523613927,1951.69532188141,1037.4298768624,6382.20059893225
b_t,2010,3670.67200496672,2502.97274869328,1074.91973353226,7888.55133450033
b_t,2011,17452.7422632339,11331.1099385741,5800.96556828683,37357.1795580211
b_t,2012,25651.6877453985,16976.7490900204,7979.6469560318,56466.5073009761
b_t,2013,25529.8816182411,17582.7495573625,9230.9754115484,52723.4192415853
b_t,2014,25360.8009125958,16723.438776381,8594.491729795,57291.164542422
b_t,2015,23272.3826837583,16043.6216500647,6285.17126929036,51033.1014459511
b_t,2016,21696.3842666143,14867.4166656451,6128.69243047471,48753.3065135533
b_t,2017,20844.5383494273,13972.8139091248,6241.92524985282,45202.4798335232
