variable,year,mean,sd,lower,upper
b_t,1950,145742.275128739,107235.095982325,79824.938192504,252935.13997268
b_t,1951,138146.61662426,110411.423069397,70268.5417688258,259159.530743465
b_t,1952,135977.545750779,111471.966727079,69972.5775249998,269855.815333842
b_t,1953,125101.002279413,106937.565699513,63819.143154414,237113.629237592
b_t,1954,117765.324305517,113112.718384327,56666.9534293464,217890.757542
b_t,1955,136094.759239066,124529.138512969,60867.1602522564,264576.579323151
b_t,1956,125024.135892069,123153.599694598,56400.895555703,246112.218727629
b_t,1957,112411.667394328,108810.967099474,56105.8680956652,226318.398326002
b_t,1958,106958.472257783,95214.9210059965,59763.8206420633,211116.040338744
b_t,1959,113252.194023343,97281.9714828163,55102.1453047965,212353.52786276
b_t,1960,121746.322469171,112185.26155758,58279.0049272262,246211.84299786
b_t,1961,114662.385175584,115544.1913242,57672.7630344695,227820.092431662
b_t,1962,99988.5709281473,88962.9375707928,56994.7762965548,188796.764377035
b_t,1963,98137.4781988885,82894.664652215,50127.5151088693,190075.789747391
b_t,1964,119269.231851079,103581.011396111,49625.3369152851,239840.097460423
b_t,1965,143896.177478844,122306.81929037,74145.1636817357,273396.61071957
b_t,1966,149784.675941955,121900.909562565,77525.2088777207,289373.194737853
b_t,1967,155541.477854176,139860.310803174,73497.5964840196,307263.506536809
b_t,1968,155911.855853048,130499.419748924,67005.5166616439,317355.406957831
b_t,1969,151666.646565433,124574.854706266,68662.8100471503,290215.038874336
b_t,1970,178351.226506168,141767.478608705,86201.0026545106,357176.044977051
b_t,1971,198988.241061429,166208.243157189,98616.6442600351,381378.794688655
b_t,1972,274095.748581068,213641.983075135,149005.895081582,481152.037949112
b_t,1973,216866.36221353,173393.115716582,115479.893195243,399178.183545933
b_t,1974,285247.70244719,231151.973187723,150884.337913067,539570.017525802
b_t,1975,304195.503201635,247372.830983356,167812.00526552,587025.731472824
b_t,1976,258786.616956019,234395.855770595,147882.386502743,491192.124511931
b_t,1977,212299.079197784,177616.807714154,110784.32269242,383460.683255031
b_t,1978,216143.801916994,196878.039919146,123785.101094004,414265.176137443
b_t,1979,153144.563091743,123015.050692117,86534.8567030436,279455.426227792
b_t,1980,95399.4520106339,72446.0802156937,49707.4992347072,186649.6861102
b_t,1981,79391.2035463696,61338.2608255755,45694.41188947,151512.528698216
b_t,1982,79463.3324746538,67790.5480479008,45338.888710553,154030.146473822
b_t,1983,68958.4657874563,55239.9360692107,35506.9897102672,135917.066620165
b_t,1984,73213.7055471329,67211.184744295,37177.6512985491,141083.09666965
b_t,1985,58576.0719040619,53687.7550746819,33768.3852713894,111680.576978354
b_t,1986,48596.8936243905,47448.0332337397,24827.8597749148,93540.0624430821
b_t,1987,41448.4782333716,38015.0309084121,18923.0877276085,78906.3176916725
b_t,1988,50554.7927131117,42043.4695866038,24319.3526464345,98228.1729891686
b_t,1989,35842.7759867548,33809.2536759487,16093.2829758127,68877.3072266873
b_t,1990,32409.0462827026,28788.6384418353,14064.1274539433,61345.9422622242
b_t,1991,36026.6158127915,31514.3088928509,17741.065427854,67083.2453938625
b_t,1992,58082.5188401593,50163.3225973246,27626.6789174911,112189.304516971
b_t,1993,86022.2041479981,73028.2689036295,46709.2889563197,167582.319279692
b_t,1994,78711.3727274775,66520.4452833736,45031.9406584703,141443.720197647
b_t,1995,75206.2400678723,59643.177547915,40986.1952635911,136473.695111389
b_t,1996,62564.7664809506,51266.5644242739,34909.0660257236,119213.804330591
b_t,1997,59361.2410949481,49300.4522895791,30207.7757320779,113963.153360422
b_t,1998,71407.467251248,58071.6470258651,37196.9371112573,140401.038385028
