variable,year,mean,sd,lower,upper
b_t,1957,341665.668892555,521211.639814707,66997.834617625,990107.959074666
b_t,1958,201791.922082478,340047.426216336,26388.1689997394,561438.692757146
b_t,1959,170020.809514457,335312.977899072,22269.4971477553,519131.989367713
b_t,1960,159718.70326217,327998.86108447,18996.0188337464,507441.712897823
b_t,1961,139651.608601919,223544.846395458,16872.3431949807,454619.840984783
b_t,1962,102883.316149098,170820.909091819,11870.3123779474,334307.058850222
b_t,1963,82390.5422519802,145854.035963541,9636.17793406753,257839.327059122
b_t,1964,59297.7094387762,89772.2412393904,7731.29606600182,183553.192794863
b_t,1965,36346.7695113499,51243.8577884818,5151.55958060828,111790.023574152
b_t,1966,48111.3003190307,88700.7733218389,6244.2291101268,144532.398413773
b_t,1967,87949.4605529173,224605.354512055,10978.9902009628,255587.559368043
b_t,1968,157604.041995252,318007.774608225,21223.7453574632,467818.842495635
b_t,1969,449305.891300835,628232.226971619,67979.681104056,1327386.28886968
b_t,1970,596303.997359045,887708.887335312,96530.7899373361,1823780.87257249
b_t,1971,613347.78929398,886021.496733747,94977.098213115,1774014.03803245
b_t,1972,383806.624040715,628567.05937404,41592.753215299,1162865.12381875
b_t,1973,201530.910680483,328776.649332909,26951.6570857044,598774.944615468
b_t,1974,323203.401544286,515691.972292291,41954.0395222431,984268.548540487
b_t,1975,238678.554752385,376711.618348419,30688.4708347662,747278.688728596
b_t,1976,227873.45862671,436849.038901873,27382.2548422489,660490.762400897
b_t,1977,522429.138652905,953430.48061624,75327.8704138877,1649923.8925134
b_t,1978,457886.028056399,798223.480194773,53775.7371853357,1391106.32094935
b_t,1979,233061.925710959,469429.300418033,29680.6066701632,725556.185863599
b_t,1980,409143.070507621,802762.202030805,53255.8220110514,1229565.69281719
b_t,1981,425740.36451433,1035813.89303229,54266.1220550541,1200184.72435527
b_t,1982,417237.452730468,638355.866557709,57087.9543929215,1268889.68154446
b_t,1983,470413.477096986,850689.764641236,65729.7374630332,1458644.5047059
b_t,1984,432308.037075621,666192.532237081,49010.2103696662,1432325.87887421
b_t,1985,163672.876237481,268213.271915082,20183.4434236896,530016.020339837
b_t,1986,187451.185515509,265182.294955127,25003.7104337566,614889.00176273
b_t,1987,139182.152302288,219348.840499384,19643.7967801727,431963.449990089
b_t,1988,168978.941475228,255764.165601395,21318.9016578955,542096.530312754
b_t,1989,165024.97978491,242566.463536141,21688.2625724523,497570.56123802
b_t,1990,230341.446018017,363600.236196115,31915.6966021898,706075.493524811
b_t,1991,227056.865454243,436166.806740867,28095.6211076897,677603.032586148
b_t,1992,240159.601222318,349636.383234293,32671.8781237687,734962.513893794
b_t,1993,270422.68761807,421284.501216934,34450.2980019487,797051.839824907
b_t,1994,255945.449276039,388982.452702494,33557.8449971034,772711.044992169
b_t,1995,235688.110150332,386331.019075467,29194.7878787536,780954.436627118
b_t,1996,169589.857393824,254182.952314976,21017.4641193317,507770.902125516
b_t,1997,123746.21466247,183494.267836469,17486.1268484793,372551.628082343
b_t,1998,132373.013940891,225759.110352519,17381.7773769998,434995.212258284
b_t,1999,101585.994415247,159316.881561452,11284.0531084262,324699.145253572
b_t,2000,37955.7913963305,59689.517886252,4964.31616536304,118479.505986646
b_t,2001,84215.2718470283,124043.052985063,10955.4720753563,269008.36798082
b_t,2002,123850.911457303,195528.308141906,15590.5593651451,407572.537295829
b_t,2003,204160.120179823,410237.489823911,26351.3016227326,598408.428878321
b_t,2004,325926.779978309,567687.966462902,42925.363749302,1001248.68949851
b_t,2005,298912.836842699,500821.241518601,41422.3673290889,956426.84586356
b_t,2006,314078.458088271,647281.072698499,38973.8746698414,924151.071410866
b_t,2007,359413.599588734,672540.145744764,47029.5077178235,1046415.64052033
b_t,2008,435127.852898364,778085.729288028,51285.4769259234,1479686.16733446
b_t,2009,205154.629260001,330266.725955531,25544.5374670198,611511.598624348
b_t,2010,321239.135760216,520779.550256051,43899.7532283958,996522.209264782
b_t,2011,347922.917807821,600952.596374523,49772.9168229051,1056177.0265673
b_t,2012,337767.37194016,534559.489636203,51157.817991741,1002463.85059486
b_t,2013,415144.505306993,628051.410323828,59840.4131903425,1195097.38017383
b_t,2014,528789.093534417,789968.652491347,75063.5353119295,1493648.72867145
b_t,2015,568357.143456969,1800932.48356494,61987.7200851324,1753305.33789321
b_t,2016,387027.190758899,692046.390397979,18312.8622798632,1392686.62044764
b_t,2017,303787.535972697,595249.92132744,1.13998062163904e-05,1040511.1630961
b_t,2018,283518.950968468,505097.547286569,1.20304117671099e-05,1060999.15496691
b_t,2019,273316.45517015,518836.969704454,1.38834773613808e-05,936596.984478786
b_t,2020,252939.324865989,545526.511609436,2.20836530738283e-06,824935.167932471
b_t,2021,220760.563677956,391049.730993948,6.22417359870644e-06,782787.506241894
bmsy,1957,237504.663780998,362892.76454252,47731.8820284154,671189.806298033
ck,1957,0.00174795614076633,0.00137798530808806,0.000297983993642912,0.00419007157979855
ck,1958,0.00218494517595791,0.00172248163511008,0.00037247999205364,0.00523758947474819
ck,1959,0.00218494517595791,0.00172248163511008,0.00037247999205364,0.00523758947474819
ck,1960,0.00218494517595791,0.00172248163511008,0.00037247999205364,0.00523758947474819
ck,1961,0.00218494517595791,0.00172248163511008,0.00037247999205364,0.00523758947474819
ck,1962,0.00218494517595791,0.00172248163511008,0.00037247999205364,0.00523758947474819
ck,1963,0.00218494517595791,0.00172248163511008,0.00037247999205364,0.00523758947474819
ck,1964,0.00218494517595791,0.00172248163511008,0.00037247999205364,0.00523758947474819
