variable,year,mean,sd,lower,upper
b_t,1950,109881.12767328,85856.0625962586,33016.0069065693,252226.953005541
b_t,1951,382.728613215337,441.703937775826,62.2118893603238,1073.64383454665
b_t,1952,72.5051411313303,87.1555294866981,10.2355324359414,216.154244108021
b_t,1953,126.211218691414,155.584746407841,18.1510262492202,367.831524194048
b_t,1954,5258.09990193764,8213.29638191145,822.870114153231,14781.5427068314
b_t,1955,24552.98319499,34782.7749114686,3650.85422577928,68328.9042271786
b_t,1956,47472.4715975117,53532.6115433801,7518.43976046902,140935.048816627
b_t,1957,44156.9399926378,52649.8047768406,6386.41876976672,128407.019251109
b_t,1958,41434.5860820225,49021.7154739378,6364.81101313808,121617.075726511
b_t,1959,43906.5801188316,56643.6504297207,6438.84117837181,136165.264052174
b_t,1960,50799.1736415722,68435.3007282422,7405.03972745546,147486.56058666
b_t,1961,70601.442283457,88154.6693550612,10156.7507575003,207215.089068306
b_t,1962,81742.5835007547,107549.252076665,12159.676786085,239477.333163181
b_t,1963,87440.913430079,102622.865907332,13006.5770204197,248558.705640816
b_t,1964,99202.0817098831,105772.61021938,15933.2426113009,276362.985730174
b_t,1965,121954.138880873,131004.227750218,20695.1258038824,347495.885452182
b_t,1966,118661.10197053,154237.322637159,16548.3671425858,336769.177092025
b_t,1967,101343.973741498,110710.928553411,15078.5249720556,289960.912501319
b_t,1968,108216.80665937,128824.133354087,15361.8425015474,312602.890503076
b_t,1969,110313.052640917,125195.175499696,18400.6665763272,310423.365609079
b_t,1970,115186.644787111,121542.063690688,19090.7332655255,326435.14928631
b_t,1971,121687.710437298,137333.361964349,21293.5907087387,364637.85053814
b_t,1972,125039.282280054,136191.046398811,20941.3087822021,345314.953956233
b_t,1973,125187.85223023,145739.503890836,21958.9551197736,347232.991478005
b_t,1974,162061.585599778,163125.07822162,27552.9867097698,455758.377243758
b_t,1975,162751.514453677,183513.523715656,26900.5954811414,444064.399940759
b_t,1976,158240.522951238,179291.299538254,25811.0853506296,444192.661747518
b_t,1977,153017.532257613,157212.426172461,27829.2722676939,412225.087858676
b_t,1978,170592.183826055,179908.096553214,29223.8658773973,459877.88076022
b_t,1979,139151.6697945,144734.592621974,21855.0977210618,398410.760315786
b_t,1980,125163.075017599,124797.802852459,22163.5782373557,318608.471049983
b_t,1981,136969.654021883,181186.329684847,23254.9556653924,372960.958674103
b_t,1982,144281.632761658,156249.737991891,23580.4376403219,395510.194420703
b_t,1983,148389.177786705,154716.576782118,25825.6277929047,421061.896906135
b_t,1984,144650.539447885,148713.264894245,26748.5429452374,395251.9338112
b_t,1985,123458.163790263,156828.041033386,20407.3508600244,362749.787513499
b_t,1986,102272.709379279,119429.44429712,17380.447067067,289287.231260738
b_t,1987,80647.9141403672,97381.7774926936,12520.9458246569,227605.770850805
b_t,1988,112299.665535578,123382.831750891,18328.6473001162,335989.48199923
b_t,1989,118222.862698081,142470.409893204,17585.7427873252,328473.040649442
b_t,1990,127505.05043366,137511.454997639,21304.498069028,373796.720892944
b_t,1991,116933.813767287,118793.612491717,19489.6700350464,336433.107261169
b_t,1992,123511.621983231,127373.488482217,20962.1249364071,340049.241213777
b_t,1993,140938.723168867,154620.929126191,22420.6084664929,404126.396013855
b_t,1994,125202.905878876,134514.211788292,21206.352757407,368783.798101768
b_t,1995,128896.761594443,142057.958211064,20852.1662662215,365922.031055555
b_t,1996,144769.761958066,164812.476980333,25111.187114075,403540.288870831
b_t,1997,111370.631540333,122135.761757151,19193.8915731147,323249.997405317
b_t,1998,120790.363719302,138264.79850192,19845.8750199111,355460.58638664
b_t,1999,95769.6657829009,123658.379048302,14266.6554510783,271185.364245139
b_t,2000,78557.8910122721,98263.8026109661,12327.6450562282,222810.726223405
b_t,2001,73207.4228969411,84820.6771537307,11768.8494157692,214753.745690119
b_t,2002,71691.318532809,74120.1926827073,11579.2361569667,200735.165473695
b_t,2003,97654.2291212845,111225.416736544,15953.8516687265,279027.493963362
b_t,2004,108816.75279167,132598.502118298,16536.027679879,322976.560731595
b_t,2005,87816.8008441985,110769.877685312,12989.6199197395,255934.714996055
b_t,2006,90495.2947697526,108238.413098537,14250.7323644604,265593.611807062
b_t,2007,106536.53056986,130224.349526204,15212.3434937409,306034.651731919
b_t,2008,93687.2189328629,110081.615593381,14863.5315928851,262473.944216558
b_t,2009,87461.3396662344,110820.216599774,13398.8440686183,256740.055429072
b_t,2010,82554.4186510794,98463.9466189425,11863.84572134,264191.205471976
b_t,2011,63846.4041946664,80294.4299393282,9136.83763237441,181600.427059597
b_t,2012,62811.2857460783,71895.7765979767,9674.30898892722,185424.41123357
b_t,2013,81042.1621694979,100507.110917211,12228.5892388809,237751.01466857
b_t,2014,82703.3086089981,107285.87640859,11761.7486933416,230850.497429283
b_t,2015,68986.8412672281,87647.6533189435,9124.50413126417,216934.95697588
b_t,2016,65380.7947809947,127134.219966746,3069.79330385587,240543.520135031
b_t,2017,51450.3342342307,104326.41350485,732.709311716495,196661.648208537
b_t,2018,48360.3605659665,128925.333369599,5.97699934798915e-05,180868.654846641
b_t,2019,37902.1958316295,99879.0215356318,1.01226137996991e-05,161223.565389461
b_t,2020,38794.0192185402,139414.802527799,4.44666030393808e-06,155432.470995043
b_t,2021,24782.6594669975,82169.2620587855,2.93991562374259e-06,96329.6774950368
bmsy,1950,76372.8342069909,59069.367173892,23469.0772225309,175225.860394903
ck,1950,0.000971534258953592,0.000612265329826006,0.000285346298774917,0.00213046441473875
ck,1951,9.71534258953592e-08,6.12265329826006e-08,2.85346298774917e-08,2.13046441473875e-07
