variable,year,mean,sd,lower,upper
b_t,2002,185295.755734164,34303.028765128,136422.797488831,242862.178521195
b_t,2003,169131.095404243,32808.5684720163,122043.250647245,225458.431133167
b_t,2004,150327.342196155,29460.2472903666,107873.966873525,201260.088957883
b_t,2005,144392.743334602,28426.6379999244,104958.064040713,192381.268250674
b_t,2006,135004.047869665,26138.9123954645,97940.6969710502,179876.973854839
b_t,2007,128079.738033889,25011.9240555993,93694.5761246855,170942.669568378
b_t,2008,125261.827005762,24444.9751042606,90955.3158243803,166331.475847621
b_t,2009,122521.503113339,23678.062418626,89022.2382672406,162150.269842277
b_t,2010,116908.603806003,22460.4768621217,84962.6688872594,155172.747114095
b_t,2011,115237.096120562,22095.1943357212,83491.5850978409,152920.544089042
b_t,2012,111443.379502911,21028.1309482242,81544.2670114459,147035.958329658
b_t,2013,100718.223770863,19060.6181650031,73737.0741959167,132754.650492301
b_t,2014,103676.393280305,19566.0483976179,76668.7177042796,136401.762968972
b_t,2015,96597.865657771,18229.1717139845,71404.8233094304,127619.475664447
b_t,2016,89064.3291626952,16495.3088665834,65908.800385563,117775.180034324
b_t,2017,86597.6954526165,15847.3879403867,64717.2873017611,113646.782565866
b_t,2018,84851.1276413602,15787.6925667337,62908.8630026296,111382.172347654
b_t,2019,82657.0362898216,15997.5605334316,60417.9907639282,109396.132185181
bmsy,2002,116151.905212616,19564.4490814089,88304.2149808105,150296.276558136
ck,2002,0.121927722089801,0.0201170758707367,0.0916822568920179,0.156045792574777
ck,2003,0.116127539076639,0.0191600931621285,0.0873208708190314,0.148622590206566
ck,2004,0.0940505648312709,0.0155175731652136,0.0707203242864587,0.120367990803535
ck,2005,0.0919269280301132,0.0151671904801396,0.0691234781270129,0.117650113506249
ck,2006,0.0887149273683622,0.0146372366689652,0.066708248310851,0.113539324094105
ck,2007,0.0903032307258947,0.0148992937188435,0.0679025561676032,0.1155720698227
ck,2008,0.0886574122049975,0.0146277471379112,0.0666650003940327,0.113465714917303
ck,2009,0.0977846262066398,0.016133662719802,0.0735281121168177,0.125146925051262
