variable,year,mean,sd,lower,upper
b_t,1950,192212.096427939,319071.966312797,37702.2933002544,598668.157799043
b_t,1951,154204.399461441,247245.469972981,26858.5147841438,502551.457306235
b_t,1952,201970.639991357,329791.475885882,33416.7093171429,642403.483332773
b_t,1953,197320.044177161,320907.542007478,32611.9892044003,613203.745285433
b_t,1954,189056.418075892,305557.035419043,32082.3657236839,635177.579821553
b_t,1955,281106.37932485,466570.516774771,46455.4218953806,913641.489115275
b_t,1956,270715.426181681,459722.580073192,43559.0468153836,867269.725991223
b_t,1957,248372.67136314,390340.66985399,42860.8150412353,785385.7900213
b_t,1958,247002.395145879,396432.344352255,41945.921405481,770597.714196674
b_t,1959,304505.97352634,511375.401519228,51372.1289087505,996843.363223944
b_t,1960,328658.783593181,562965.716867651,56264.9368702049,1067224.36902109
b_t,1961,372541.800684552,628818.633591638,62228.11157571,1203586.45848836
b_t,1962,423540.989170438,701023.824349708,72578.8220374894,1368814.34265401
b_t,1963,305732.219201641,498015.342476092,52933.6722097357,983032.059155487
b_t,1964,310240.367073778,504853.091714923,54797.5356099334,981218.757565207
b_t,1965,399365.517302059,705088.993651035,68397.9145958514,1232728.57108719
b_t,1966,293481.499525103,493964.29850807,48930.8711105973,928710.637340744
b_t,1967,208756.417218924,348505.056109762,35357.1426111496,658201.113066836
b_t,1968,187160.223207391,323275.733967593,31210.0169343066,581076.104591655
b_t,1969,208972.347616212,349826.744758774,34183.7215540702,661259.799822741
b_t,1970,267881.90423645,434995.761617858,44966.2818731594,856586.375791718
b_t,1971,272557.369073195,445425.126643908,45464.6788810092,893099.310805564
b_t,1972,237713.989133771,374640.688653706,39411.0031952688,793802.242124629
b_t,1973,190547.676028917,309577.113563388,31893.1380017141,576880.752928239
b_t,1974,249152.995651853,439991.177909872,42542.217376856,768710.26354586
b_t,1975,367874.473391372,569348.830341889,62740.0559496515,1157761.72060363
b_t,1976,337254.319750238,558765.084931318,54943.4976172018,1120753.61490203
b_t,1977,218822.745590734,364546.529812951,36756.4262531485,720265.716955587
b_t,1978,295007.470733363,488308.115472347,47966.132752134,966352.657247821
b_t,1979,243050.09741409,398494.651637617,42186.4629013283,803459.372247014
