variable,year,mean,sd,lower,upper
b_t,1950,512451.283656485,487400.883286737,172588.593456083,1293832.59008574
b_t,1951,407064.699670926,412944.563060508,123861.343078259,1016903.0964628
b_t,1952,410311.575348688,414782.578345572,118724.704964825,1040010.73107644
b_t,1953,378500.510094901,383039.470377129,109202.090349005,1005534.38098718
b_t,1954,348128.58971932,365160.954130729,101213.72805613,889254.852059821
b_t,1955,409504.988386524,437799.054305531,117408.745374398,1030640.80251049
b_t,1956,393770.336532007,413243.164008216,113119.934729174,1024925.04219424
b_t,1957,361145.161742964,379507.837633945,104081.621985565,937534.982844149
b_t,1958,351327.345398039,359097.914144709,104255.861811701,903400.335606382
b_t,1959,371204.544831962,369729.033990027,106776.624488588,970871.256714676
b_t,1960,454463.493740084,468891.651803112,135184.813206869,1213340.52324934
b_t,1961,506854.732122355,517555.998326482,148992.747555667,1338587.40160473
b_t,1962,491165.81782163,484093.859133083,147264.880547997,1238780.18697034
b_t,1963,553082.086385522,562234.650086224,165612.666697827,1424462.4679641
b_t,1964,649122.96738426,663836.040276226,196701.33777857,1677743.74361639
b_t,1965,869908.365811483,871792.438884562,264459.306157646,2303661.36572763
b_t,1966,874162.964832366,866087.640901594,260939.574331841,2275350.73634307
b_t,1967,827327.639724478,865122.005076778,245117.28121772,2086088.62739784
b_t,1968,918171.226428318,918207.421165216,283096.358582466,2359147.99615054
b_t,1969,995367.407866663,1017138.06856112,301106.866731614,2533988.7444437
b_t,1970,955787.615932221,967124.151957936,289042.279376894,2412994.15146502
b_t,1971,938222.031893979,949826.142006693,282905.544638685,2456044.42797646
b_t,1972,965362.761942461,975518.223940147,286684.709432587,2491399.74466955
b_t,1973,714323.70110111,715344.180919355,220861.566351454,1825904.80929322
b_t,1974,1028053.94821664,1013059.40481787,309651.372617243,2642253.75836756
b_t,1975,1148049.26016982,1173133.02753324,340858.29960788,2891217.52541656
b_t,1976,1062865.92415046,1021339.70910324,317135.068362793,2767135.56692292
b_t,1977,981507.529602536,1025510.18996842,291537.938841217,2591372.70166646
b_t,1978,1125357.09264629,1160169.75257189,335740.390957586,2886404.69163285
b_t,1979,859077.531758392,864688.141553299,263145.34331669,2141830.05973832
b_t,1980,864059.723328708,837366.240187858,261941.876059413,2217921.82603834
b_t,1981,781123.754878482,779765.769470209,235157.171961335,2043051.30759746
b_t,1982,840517.800036407,859378.183443417,248097.858748593,2192974.38996558
b_t,1983,761145.28549894,794837.447796707,222388.894613758,1992889.72424707
b_t,1984,817453.430129788,823295.136295058,240900.668909683,2038922.34292403
b_t,1985,767355.180410067,793262.878285102,216767.990707542,1987588.45595057
b_t,1986,525427.213804334,546704.679458086,154293.273576918,1397953.91944734
