variable,year,mean,sd,lower,upper
b_t,1950,745010.152681016,664577.486000773,188433.503154803,1937978.74229509
b_t,1951,270177.129283372,255978.616711386,61439.6221692427,700368.234920899
b_t,1952,330750.724243917,323699.740830411,74251.8336458125,847154.471775128
b_t,1953,321915.581439192,301980.880728675,67995.356030305,861837.545713728
b_t,1954,301435.004926117,281673.115715212,65281.5322775813,812154.103342295
b_t,1955,360547.973570858,339271.698333149,80938.6556695162,989972.618403143
b_t,1956,404569.737622548,387863.234029367,92501.6544652284,1035528.17559377
b_t,1957,528743.381102911,508957.842542991,117743.379462844,1413748.54074666
b_t,1958,632210.461229341,610362.193231761,135349.985770345,1714546.48931818
b_t,1959,831494.055354883,818653.662172467,177968.429534137,2347062.46815766
b_t,1960,1021122.80150439,989235.345233166,218691.115404412,2719897.36244498
b_t,1961,993900.254348427,986819.186228926,210454.782786769,2627489.11632182
b_t,1962,888745.950437349,847726.55262615,192210.361888765,2310589.92375862
b_t,1963,1437649.28243873,1367857.23315863,307303.595920508,3747837.65933194
b_t,1964,1450536.24722914,1372282.31467026,338515.146744189,3734620.49959502
b_t,1965,1785998.40355233,1694724.13756972,397954.142196073,4761418.91512746
b_t,1966,1961565.2277581,1935194.18410225,405345.530463743,5284703.78476472
b_t,1967,852658.59251087,845220.542671049,184086.007106303,2232520.80480286
b_t,1968,935437.032584953,916765.150910315,202611.028383109,2473329.92423233
b_t,1969,928911.690236744,889461.207574325,200570.359074117,2483490.35677214
b_t,1970,945006.051324366,949512.183359872,208261.725556931,2520647.0901092
b_t,1971,914076.491901106,891246.415147859,200206.843774651,2489941.74803086
b_t,1972,945950.036943619,942043.223953258,195476.772851424,2579335.03530253
b_t,1973,623144.981494125,571685.700245825,134097.035777341,1672482.43026008
b_t,1974,818222.51447489,815110.704949606,173014.747824096,2137844.52939228
b_t,1975,950971.280431194,903764.862543176,203019.741700629,2560812.38111767
b_t,1976,1138517.58865343,1054021.04400601,245638.059879924,3023987.38290037
b_t,1977,1203209.72514774,1093245.58484476,271252.289977372,3180726.55279903
b_t,1978,1423526.89741427,1327883.1194831,316900.569970458,3830885.94708349
b_t,1979,1177447.31915224,1146851.26941232,255984.079278947,3133059.46183948
b_t,1980,1227689.72707384,1204535.5119029,276076.449340901,3284287.05160343
b_t,1981,1273303.81379794,1245884.8625053,268680.588866665,3353091.04667297
b_t,1982,1537800.83141111,1550925.48994193,332748.369993358,4066527.75978137
b_t,1983,1412957.74880883,1304199.33602805,315686.474935511,3804054.56685035
b_t,1984,1470972.45125575,1386056.67841958,335282.375967067,3894240.05516715
b_t,1985,1480507.37383751,1457332.70736522,331864.775201601,3902203.2628505
b_t,1986,1249101.02005489,1206687.67151134,270233.62887354,3320784.37316931
b_t,1987,1027881.73387833,979057.421953736,231790.986339012,2769873.19297198
b_t,1988,1375465.40225839,1420409.60434607,285027.174236327,3705675.53052653
b_t,1989,1183303.78166623,1176008.35892378,255970.539831149,3227284.31332523
b_t,1990,1148642.77765781,1082776.88580755,235715.021773848,3090606.28213922
b_t,1991,1023947.48625104,949863.107927724,217634.879121859,2717650.3525337
b_t,1992,917201.213887697,872387.675809934,198049.932679264,2548107.88022291
b_t,1993,919886.255129598,889285.802686729,197622.601615807,2528016.10635368
b_t,1994,946423.558048248,895275.624911443,206705.027579256,2617564.10611188
b_t,1995,1254579.19136541,1205743.97196466,273312.816993692,3449573.07403446
b_t,1996,1478803.28557707,1388538.2230144,318357.154627776,3887622.4327805
b_t,1997,1321318.40848049,1294542.97151773,288076.88380231,3554864.08423553
b_t,1998,1252435.38054199,1216131.55428959,270609.583115618,3279891.15335358
b_t,1999,1092619.97075869,1094394.33080837,228388.623434542,2905579.93807156
b_t,2000,1176666.19640443,1169326.57062308,254297.349376497,3090415.86426348
b_t,2001,1300411.65215092,1274778.53448182,283948.996504485,3406738.7033964
b_t,2002,1102429.83624019,1092834.62129385,243834.415316341,2889321.09856201
b_t,2003,1216438.36773358,1167872.05515862,272620.378713211,3293783.54250376
b_t,2004,1196521.77462546,1173400.47696615,255834.44175256,3144089.13008748
b_t,2005,1054203.80411443,986301.298283311,230705.810234626,2753679.349165
b_t,2006,1345865.23965063,1267951.98595343,299436.501003931,3577523.1854664
b_t,2007,1477066.3165099,1383264.33330412,318574.786524566,3835542.37079744
b_t,2008,1396374.23563428,1303114.824702,308204.575421433,3635781.08154776
b_t,2009,1432729.93566756,1341721.32654039,316127.968099839,3846294.53423112
b_t,2010,1351845.45927538,1286796.94153425,307516.023320349,3444064.95617678
b_t,2011,1162225.0400156,1107518.72776675,264410.66891603,3176001.13267525
b_t,2012,1229415.89833291,1213464.78829582,274207.364960379,3226222.08863387
b_t,2013,1432189.17411663,1367788.73520108,325770.087469368,3743681.74021586
b_t,2014,1437995.06316955,1372459.07239417,306005.757758024,3856688.69439825
b_t,2015,1611815.34596125,1510930.74077301,343830.502664011,4240026.43474576
b_t,2016,1199127.97819989,1259962.10578426,224012.880432276,3247805.86646606
b_t,2017,1048920.22871184,1145460.13303069,164653.393045484,2986385.3924896
b_t,2018,983772.067883635,1132178.85660174,131692.88141432,2941948.86029861
b_t,2019,935405.717335812,1109918.93327822,115871.538435458,2800426.18506291
b_t,2020,906306.265116756,1061016.73704303,97825.8571727324,2719352.86396537
b_t,2021,878094.880750033,1089824.9540445,80424.8554523495,2701667.87721213
bmsy,1950,594046.229191341,519741.026332464,155859.034959763,1539003.7896777
ck,1950,0.000139571670611527,9.6754190598162e-05,3.24885499013562e-05,0.000320802707058297
ck,1951,0.000139571670611527,9.6754190598162e-05,3.24885499013562e-05,0.000320802707058297
ck,1952,0.000558286682446107,0.000387016762392648,0.000129954199605425,0.00128321082823319
ck,1953,0.000558286682446107,0.000387016762392648,0.000129954199605425,0.00128321082823319
ck,1954,0.000558286682446107,0.000387016762392648,0.000129954199605425,0.00128321082823319
