variable,year,mean,sd,lower,upper
b_t,1977,4010801.49834484,2662153.67308123,1310328.80439395,8627916.29565743
b_t,1978,6815260.5410142,4978666.19714499,1926880.8704607,15870696.3735266
b_t,1979,12651534.9482744,9416852.73962572,3420717.55997926,29005626.3244863
b_t,1980,20617126.4123176,15841558.3465702,5766262.86982758,48657776.7426207
b_t,1981,23812525.2904264,17622306.095544,6568594.3955203,54785534.6531769
b_t,1982,33218264.3165361,25292317.9085567,9204482.11202969,77164339.8606228
b_t,1983,40658961.7138662,32097936.3653142,11587974.8414672,96068182.3191518
b_t,1984,26540222.2232744,19893186.5627722,7694304.88326794,60711981.7442252
b_t,1985,24386391.0049191,20743059.8180108,6571000.51634384,55764518.8613881
b_t,1986,23009532.8816795,18394119.82135,6082146.82572891,55993184.5731525
b_t,1987,17218161.4181669,13238781.8764145,4603861.05798724,40346584.9924771
b_t,1988,19787781.1848882,14859121.2135544,5391692.60529548,47434319.1109653
b_t,1989,21914409.7421076,17363405.7924009,5846998.81194564,52605291.46686
b_t,1990,25011067.5905882,19890795.1239514,6603214.28656959,57796568.6443257
b_t,1991,22928338.8801821,17940230.2126092,6068102.71461593,54235815.5072779
b_t,1992,21797719.8073679,17127028.8841879,5984976.23968307,50713079.2057402
b_t,1993,22095326.1411937,17620015.0578167,6090560.88256167,53657676.8141083
b_t,1994,19872756.9056731,14971795.2589373,5443203.08468141,45972832.6314483
b_t,1995,18023700.7897612,13596055.9207908,4962932.26933353,43500337.1763224
b_t,1996,16018419.667533,12134207.8278443,4425680.34079575,38264114.5776871
b_t,1997,14966627.3117335,11583184.6401783,4189659.24299815,36040450.1131511
b_t,1998,13822891.6320667,11391541.363896,3734201.44342071,32333832.6217793
b_t,1999,11678959.3459842,8818006.15989671,3156545.1114307,27540553.988164
b_t,2000,10434648.1637908,8262005.38373801,2770912.20447731,25667721.3152507
b_t,2001,9104684.78274751,7015287.55616182,2522768.27027604,22097028.0273811
b_t,2002,7901012.44173829,6331504.94399133,2119474.69837576,18744434.2450518
b_t,2003,7650156.86943278,5954172.36593839,2029061.57369968,18263641.9234244
b_t,2004,7989124.74515263,6374809.66510412,2096239.68543146,18033920.9214467
b_t,2005,6593006.87237379,5034209.37570903,1789232.68016575,15265139.1219757
b_t,2006,5522212.20853097,4277749.13138039,1559453.65221989,13056646.090941
b_t,2007,4326087.03315295,3357575.00679923,1150401.75032555,10199844.6035117
b_t,2008,3448528.4997974,2858051.72581901,926127.421300585,8601406.3206413
b_t,2009,2605791.64672418,2005350.71213922,700702.433667267,6428735.48054358
b_t,2010,1687267.65298572,1399690.93090333,462910.810463799,4071476.77721341
b_t,2011,1104184.83089455,869066.489733973,299370.598896442,2627105.81753882
b_t,2012,1002820.07710377,817819.883945314,270950.753182652,2389866.17614798
b_t,2013,983689.317598188,782680.457059425,261245.570387625,2432563.75154033
b_t,2014,1088682.65649788,827005.942781477,293188.149585285,2660910.78934917
