variable,year,mean,sd,lower,upper
b_t,1950,730045.78331722,134684.685746913,540751.009763258,969604.687688902
b_t,1951,728046.904936166,135847.25021846,545348.272472555,971339.681096166
b_t,1952,717820.405064891,138956.477615616,530087.704800551,960926.821434521
b_t,1953,694283.102144319,134441.007143553,511188.361307576,932076.717398241
b_t,1954,700660.473239249,134106.966039928,518909.477712065,944790.360447713
b_t,1955,777382.824545721,151346.262746292,576150.767899688,1051734.8435617
b_t,1956,850714.828411493,164022.143033693,629747.549214699,1141639.18540671
b_t,1957,845588.569882334,165676.023013827,631150.614359322,1146691.76038365
b_t,1958,827557.76062862,160434.62367982,605993.559874953,1118898.37350752
b_t,1959,792603.68966174,152638.95307202,582375.898953616,1065028.76306784
b_t,1960,761104.627774015,147710.178679456,553911.301938278,1013531.71386062
b_t,1961,730097.02775071,145566.903221358,520263.802083105,986926.070554064
b_t,1962,867199.424859092,166639.489174422,637986.545469661,1170302.16996218
b_t,1963,797183.676864997,153980.838164359,589251.581664015,1077749.13017063
b_t,1964,734834.389671949,141930.206883086,541673.983548105,988318.417820924
b_t,1965,658016.206526604,125633.734076697,489069.078738639,878146.413192264
b_t,1966,617698.532365102,122083.967450346,455285.312732597,835987.457115169
b_t,1967,670514.338310164,132601.084286291,484399.127814172,912076.455413101
b_t,1968,802404.716512055,152529.348985126,601411.492022982,1074973.97107566
b_t,1969,818211.35568417,161678.222860812,597285.568595433,1102803.78616855
b_t,1970,864861.112423844,171227.919259866,634747.625550749,1164682.09918583
b_t,1971,928018.815364768,182070.698449088,670642.653015168,1253753.93352165
b_t,1972,935131.331181581,185916.67107719,689142.816037349,1256147.53969562
b_t,1973,982929.013488427,196004.82265469,720948.815093165,1336889.14885356
b_t,1974,899811.987804176,173320.031411244,664831.666995363,1214504.35384894
b_t,1975,999114.878138957,193896.08567516,744663.934988762,1331227.74325595
b_t,1976,1071498.21235511,215083.707573118,772713.184486908,1458449.96108677
b_t,1977,1080246.66198465,215883.741638522,784919.847710786,1446493.93303024
b_t,1978,1225930.5300182,248677.009806505,895972.168011326,1673280.21306639
b_t,1979,1288921.54824447,259204.747326915,937965.965122501,1752099.69661109
b_t,1980,1087978.03604468,214165.853937677,778395.068853549,1451315.87535889
b_t,1981,1024648.58358902,202573.100176207,741897.784687755,1383595.22868967
b_t,1982,1014503.47318617,199628.168240613,729446.582930586,1354555.70252032
b_t,1983,919608.56482228,179484.906203403,677456.95301685,1236991.34564307
b_t,1984,733592.475152855,142913.670774891,540258.822173263,983316.740636017
b_t,1985,647096.069977555,126351.261239207,475531.94768876,868905.210529396
b_t,1986,631840.908763735,120454.589773711,468330.21181202,844904.885951561
b_t,1987,512319.25659962,96625.7554695721,382668.675933056,681817.485164303
b_t,1988,496449.895604399,94467.3396320675,366422.050628386,667185.245777901
b_t,1989,427067.096673167,80644.2631236053,313682.109196518,570062.777018385
b_t,1990,389193.270156132,74666.4521453005,286108.407198459,521820.405187189
b_t,1991,395450.548687361,72149.6034150728,298244.488672765,519028.993950604
b_t,1992,419944.958396358,79579.1468056302,313478.706806054,556970.318851347
b_t,1993,423290.621156412,79206.3660093245,313550.525923693,565057.537447096
b_t,1994,441079.113370124,79617.8849184802,334282.177593533,585989.379297349
b_t,1995,437990.0206615,77159.4342869524,339428.471141995,570892.378607293
b_t,1996,413879.891818031,76706.5985898264,306875.610967645,545429.728550801
b_t,1997,386157.886042517,73557.1771456712,278640.335608225,514695.211237716
b_t,1998,323254.441094805,61129.278271653,239334.222074677,433447.096731061
b_t,1999,275444.914090307,50618.1706486644,206395.862990463,363384.871297501
b_t,2000,303405.468266052,55024.6105240061,225671.558613479,398679.960986435
b_t,2001,336701.945177965,58752.3220506338,253358.042671056,438366.94673136
b_t,2002,352788.161868264,63447.2224053667,267379.058066937,465517.524692246
b_t,2003,371087.941158607,68126.8680489963,275122.287376179,489284.443807071
b_t,2004,372864.737502126,68992.9879468402,278949.707387939,494577.775781899
b_t,2005,398237.068507646,70035.8725351051,305498.832293043,521973.991920412
b_t,2006,429455.580480481,75088.2489344556,329841.126102773,561441.375223483
b_t,2007,406863.314141385,71454.9206570088,309097.707222831,534097.533866249
b_t,2008,384925.953094802,66331.8401215705,295219.383919498,498731.230508044
b_t,2009,361608.780104496,62851.2105384217,280054.582517134,470751.469187616
b_t,2010,328754.272760506,56421.7570878971,251985.493481863,431316.694382994
b_t,2011,365538.563489009,62594.9044620071,281372.488351529,476088.947260935
b_t,2012,381296.556738379,64926.1569232066,292907.942849785,498254.957761298
b_t,2013,351855.150806098,59715.4883588263,267315.658411402,450463.672017946
b_t,2014,344443.79431623,58305.5105919522,261661.050705989,442273.277241436
b_t,2015,306286.577971872,53760.7728764158,235576.718308811,401167.250818731
b_t,2016,278256.794750197,44972.880541087,215851.566543923,358462.0681753
b_t,2017,252066.811399619,41549.9265443784,196723.155230724,323735.195488217
b_t,2018,258620.443431939,43604.4940752833,199543.271620434,334916.26252541
b_t,2019,264757.323882759,49418.3652448261,195350.423741354,348713.220202348
bmsy,1950,499825.019955041,81305.1034946573,382757.308150048,639403.600809919
ck,1950,0.0257601704206847,0.00411651628479729,0.0196276672309335,0.0327884015339753
ck,1951,0.0253496497765303,0.00405091443165311,0.0193148757212772,0.0322658772067406
ck,1952,0.0254522799375689,0.00406731489493916,0.0193930735986913,0.0323965082885493
ck,1953,0.023707567199913,0.00378850701907639,0.018063709682652,0.030175779897802
ck,1954,0.0229891560726429,0.00367370377607408,0.0175163245407534,0.0292613623251413
ck,1955,0.0280180339635335,0.00447732647709028,0.0213480205340433,0.035662285333766
ck,1956,0.0342784737868872,0.00547775473753903,0.026118091056302,0.0436307813240946
ck,1957,0.0350995150751958,0.00560895844382739,0.0267436740756146,0.044675829978564
ck,1958,0.0334574324985785,0.00534655103125067,0.0254925080369894,0.0425857326696253
ck,1959,0.0349968849141572,0.00559255798054134,0.0266654761982006,0.0445451988967553
ck,1960,0.0363310770076588,0.00580576400325993,0.0276820486045836,0.046243402960268
ck,1961,0.0295574863791123,0.00472333342638096,0.0225209886952544,0.037621751560896
ck,1962,0.0526492726127937,0.00841343766574108,0.0401155111134219,0.0670137449678459
ck,1963,0.0415652152206266,0.00664218763084822,0.0316701403527015,0.05290558813251
ck,1964,0.0413599548985495,0.00660938670427613,0.0315137445978734,0.0526443259688926
ck,1965,0.0368442278128518,0.00588776631969015,0.028073037991654,0.0468965583693113
ck,1966,0.0327390213713084,0.00523174778824835,0.0249451228950908,0.0416713150969646
ck,1967,0.0376652691011604,0.00601897002597851,0.0286986210109666,0.0479416070237806
ck,1968,0.0563439584101828,0.0090038543440387,0.0429306347003288,0.0717164639129579
ck,1969,0.0447467502128228,0.00715060199271562,0.034094274552538,0.0569551516685786
ck,1970,0.0485440661712504,0.00775741913429928,0.0369875960168588,0.0617885016954993
ck,1971,0.0570623695374529,0.00911865758704102,0.0434780198422273,0.0726308814856186
ck,1972,0.0564465885712214,0.00902025480732475,0.0430088325777428,0.0718470949947666
ck,1973,0.0655806729036554,0.0104798960397828,0.0499684436675958,0.0834732612757379
ck,1974,0.0495364998284935,0.00791601161427534,0.037743769491453,0.0630517042565891
ck,1975,0.0659501414833943,0.0105389377076125,0.0502499560262864,0.0839435331702491
ck,1976,0.0752576707879835,0.0120262957230239,0.0573417215289692,0.0957904659794771
ck,1977,0.0783057865708294,0.0125133894826195,0.0596641984881673,0.0996702091091945
ck,1978,0.0960094893499852,0.0153424693994622,0.0731533323420957,0.122204070721189
ck,1979,0.113628009095479,0.0181579369317776,0.0865775619577705,0.144629508535283
ck,1980,0.0823453097093081,0.0131589117175582,0.0627420669431854,0.104811848489184
ck,1981,0.0811681417621955,0.0129707984036673,0.0618451372892459,0.103313509980838
ck,1982,0.084675014364884,0.0135312022341514,0.064517158760485,0.10777717404624
ck,1983,0.0870242187510572,0.013906608838769,0.0663071081744932,0.110767319508841
ck,1984,0.074245737400143,0.0118645871550235,0.0565706904576664,0.0945024435128436
ck,1985,0.0589384488812382,0.00941845805590992,0.0449074770413566,0.075018817661081
ck,1986,0.0719673478250865,0.0115004968700733,0.0548346975790738,0.0916024334966912
ck,1987,0.0732276462026403,0.011701894559226,0.0557949675137187,0.0932065831813016
ck,1988,0.0689931257581883,0.0110252114440437,0.0525685230916139,0.0878167447458761
