variable,year,mean,sd,lower,upper
b_t,1950,25594.5329134513,38852.3190684505,5079.85923042685,78636.8264601322
b_t,1951,30831.5764262175,52375.037436647,5256.16687472394,95037.3984229225
b_t,1952,33889.7957633735,57663.6405250984,5461.19987236093,108068.450514366
b_t,1953,30300.1874664584,54558.5979336404,4696.01000575044,90823.7973060194
b_t,1954,26180.4547851357,44442.8921774532,4163.66837955262,80186.1087459316
b_t,1955,30865.2616933175,51894.5386311582,5020.48920498382,97789.9788069309
b_t,1956,27681.4126410382,46618.2870801472,4395.17663910949,86173.9059388743
b_t,1957,27195.9093514583,45067.499465232,4443.3557106318,86890.3295689121
b_t,1958,35937.9537201255,60397.3600282797,5925.20197998246,108975.279730216
b_t,1959,39081.1210799814,65449.6732823104,6740.07582063954,120496.548859923
b_t,1960,47215.0872163167,78445.7857155176,7880.08912062737,140557.878168059
b_t,1961,38301.1460296568,61802.3942405115,6174.4548678913,118354.284427472
b_t,1962,31968.3487555713,55401.0268257424,4860.25062719204,101255.244608501
b_t,1963,16277.2924682931,28744.2178517475,2551.47031804331,51896.7049503863
b_t,1964,13542.2253827133,23013.4447590654,2221.0620794537,42090.2713317251
b_t,1965,14020.1016997529,22719.1700240413,2215.2045766655,44093.4220506023
b_t,1966,15132.8772973672,26070.1986694092,2376.22041601749,46896.9111320311
b_t,1967,20132.3251459021,33434.6445624148,3147.00601838863,63673.2753294732
b_t,1968,24561.1151763363,42666.6355722103,3944.92516999904,76737.8992751685
b_t,1969,33944.5901668644,59680.3870673973,5216.06119955765,104443.460690445
b_t,1970,22021.2602926922,40512.1156603906,3439.40266896198,66273.147763892
b_t,1971,17773.5211858556,31243.9845671145,2835.22493392606,52663.1574070328
b_t,1972,16366.7416874047,28684.4349650849,2621.54284984903,50031.0054265421
b_t,1973,20454.6185250742,34527.0366600335,3347.18220789237,61866.1365476254
b_t,1974,32383.5401604113,49898.9801264159,5534.21444619112,97752.9703163765
b_t,1975,47641.4907097525,82427.8921691922,8076.17359861367,146903.33873417
b_t,1976,38844.3885119131,61930.6157498496,6618.00855654052,119782.619851933
b_t,1977,50465.9873674913,87527.3063921562,8004.5857348394,154559.093417501
b_t,1978,24586.5030333121,40070.2601794341,4033.25229431555,75925.5770526444
b_t,1979,30973.8613764638,51940.2939829601,4944.912717941,98194.7940184212
b_t,1980,17966.2496185918,30691.3705628171,2767.17359668876,55806.6302624017
b_t,1981,15671.1583553329,26397.4195015617,2444.03660954753,48224.0617996591
b_t,1982,17949.7069702734,29879.7380923944,2906.92044072368,56938.1287107533
b_t,1983,16492.0412240166,27992.4414206155,2664.08484398229,49942.1617856512
b_t,1984,13407.020117483,23580.0269957627,1971.90254974468,40517.5641293202
b_t,1985,11151.9579635165,18375.8276451459,1774.55498345692,34174.0383065481
b_t,1986,9119.35957272109,16007.6680417828,1477.422393825,28865.0458317055
b_t,1987,10990.8182909478,17892.8735463886,1910.77659471313,34769.4424784994
b_t,1988,17653.3314565423,27780.9562851981,2990.40517486116,56129.4252531979
b_t,1989,20871.3802472431,35209.7868131994,3275.26426831441,65966.8925754492
b_t,1990,19058.0212208483,31336.7597833951,3070.16049724895,57307.3866125904
b_t,1991,15150.7800695427,26432.0788610953,2385.77386899976,46373.1297768592
b_t,1992,14035.9126373559,23754.1386117438,2292.03829135116,41728.8387771458
b_t,1993,15058.9190509434,24241.9447523028,2445.41612378785,47231.4152027396
