variable,year,mean,sd,lower,upper
b_t,1962,394779.493540857,128156.761079789,218385.397235317,612741.419093959
b_t,1963,533122.750743939,202231.547110648,262164.929292046,894392.505193658
b_t,1964,532998.594776875,228547.595485743,261140.048704573,963456.021567644
b_t,1965,698124.15736856,266842.221015255,357877.550304636,1215574.95007256
b_t,1966,607827.693032868,242169.937650597,287216.086852008,1064035.04139532
b_t,1967,431009.93991862,224262.998099449,201161.478903217,882142.807901881
b_t,1968,498269.818543333,288049.456201665,174869.956696584,1083481.28324388
b_t,1969,315405.949799873,163312.381925932,116515.397057293,617648.827250718
b_t,1970,284900.611739716,228862.388011463,99436.2721233542,816216.245233937
b_t,1971,227323.408591831,217701.249085961,67112.8395432558,589327.100254146
b_t,1972,186462.242472113,153530.792436719,57435.6234701694,372098.42354514
b_t,1973,80471.3519585718,36454.0693750353,41687.5769700896,154153.702499374
b_t,1974,78556.1258544294,37071.1697250569,38775.0560940233,152762.512547685
b_t,1975,49931.4127253504,21909.8921436246,23050.4308282005,91126.8842500846
b_t,1976,15455.6470274602,7344.06756932328,6386.14278883463,28963.0019992818
b_t,1977,17903.5126963003,7414.07661797058,8984.35297197445,33522.9637711874
b_t,1978,8230.80497355481,4162.25662927144,3896.4101680446,17251.3947412717
b_t,1979,13037.5046698957,5631.25487053865,6904.36737997198,23320.5424559033
b_t,1980,16397.8648240808,8310.71096198923,8668.41385924751,33368.61852216
b_t,1981,21461.1225128409,8989.96606679164,9789.47470398671,38326.6877331106
b_t,1982,29889.2394932363,23477.305199697,11063.2153342649,80966.3638796349
b_t,1983,21822.7286754954,10181.1142761971,9251.06765904943,40881.2466686836
b_t,1984,12009.6475001434,6617.45057132005,5529.91385292578,25543.8695220547
b_t,1985,4965.27791634631,2739.16459738264,2438.0303150133,10280.6148663734
b_t,1986,1776.9169860266,837.277620422135,906.113302217552,3335.42068165647
b_t,1987,712.896125994124,351.834010621276,314.373179158644,1366.90849272397
b_t,1988,791.340658910687,369.476082420908,344.805443088178,1433.15120272017
b_t,1989,830.451414619766,540.854544886316,251.360438241976,1839.88803593289
b_t,1990,1278.56824621574,475.966211791656,651.37249035824,2110.16596723272
b_t,1991,1587.18111173379,926.608830280925,584.296584071589,3455.96452039624
b_t,1992,1172.24053365214,595.374205164062,391.437021880817,2193.02498333552
b_t,1993,974.16337302638,507.223036288363,281.795090258809,1890.30018984418
b_t,1994,407.949476665635,191.717967013914,182.047333798552,758.209269032259
b_t,1995,413.325200747816,185.347378152239,196.088613127756,789.270452502788
b_t,1996,560.806263130456,242.641862605864,278.851060619696,1035.50527192892
b_t,1997,888.638665107791,381.588226585728,431.530420931564,1605.52105082785
b_t,1998,4193.95477981526,1715.70042078015,1997.45753749472,7436.68243986363
b_t,1999,6655.96205535182,2662.70498781321,3189.22833855891,11674.9124788306
b_t,2000,44144.018008101,19139.2391105794,22631.518241728,78671.7813584989
b_t,2001,129286.192688588,92642.9528302991,48414.9974002285,280026.4681426
b_t,2002,86569.0948718284,47061.3855953932,27123.2856590224,174192.548692266
b_t,2003,100844.968159106,75941.1922050931,25473.2148071163,248261.66795214
b_t,2004,75576.8431065968,42121.0181178676,27079.3889824225,156276.441340281
b_t,2005,49128.7626477896,26739.7643004961,23180.6439902165,101096.815448791
b_t,2006,27665.2036168041,21710.8095933146,9333.60567562612,81558.7873971347
b_t,2007,16151.3678564151,9062.52770449806,7295.19373541865,30239.0377980069
b_t,2008,10473.0200388023,6324.85100177492,3941.6711486471,23642.3280093351
b_t,2009,14989.9290428386,9335.18594015024,6799.07792479173,30828.311538813
b_t,2010,22317.6245741949,14959.6421748138,7531.89429400857,47840.5197016335
b_t,2011,37900.4001638482,23373.985607661,16158.3253218713,84513.7183743423
b_t,2012,55492.3277718214,36609.5014568671,21935.5741543187,123885.077782556
b_t,2013,61024.7001964064,36414.7668099905,21072.6681803736,132968.712969341
b_t,2014,60574.5268747837,34482.7954062196,21375.6098482361,124825.18822851
b_t,2015,57063.3057504255,28731.4958300856,22247.3723825179,109245.060941898
b_t,2016,40138.2643180349,39664.9881345286,7525.7594194231,117487.657940498
b_t,2017,61363.9991159124,59667.947343411,8085.63085747595,179994.76343089
b_t,2018,117081.202046944,171535.073092862,4396.59559347468,464040.591609576
b_t,2019,121628.561950589,110661.099425249,5231.69182958053,327428.237834757
b_t,2020,106840.45835847,172754.204353377,3475.29399712634,288382.077592872
b_t,2021,170790.216497796,219970.520391997,2639.66334775227,603735.939775186
bmsy,1962,245054.022828967,77224.0482556807,148361.853070324,385871.369860049
ck,1962,0.0156599404542599,0.00466028719900149,0.00907038071374994,0.0235909704404652
ck,1963,0.0250559047268158,0.00745645951840238,0.0145126091419999,0.0377455527047444
ck,1964,0.0268456122073026,0.00798906376971684,0.0155492240807142,0.0404416636122261
ck,1965,0.0270693256423635,0.00805563930113115,0.0156788009480535,0.0407786774756613
ck,1966,0.0255033315969375,0.007589610581231,0.0147717628766785,0.0384195804316148
ck,1967,0.0230424838112681,0.00685727973567362,0.0133464173359463,0.0347124279338274
ck,1968,0.0212527763307813,0.00632467548435917,0.0123098023972321,0.0320163170263457
ck,1969,0.0212527763307813,0.00632467548435917,0.0123098023972321,0.0320163170263457
ck,1970,0.0147650867140165,0.00439398507334426,0.0085520732443928,0.0222429149867244
ck,1971,0.0147650867140165,0.00439398507334426,0.0085520732443928,0.0222429149867244
ck,1972,0.00844070790484607,0.0025118948002618,0.00488893520471121,0.0127155330674108
ck,1973,0.00823041727588887,0.00244931380073235,0.00476713294941229,0.0123987400357817
ck,1974,0.00806710646829444,0.00240071366279991,0.00467254183625461,0.012152719915474
ck,1975,0.0022483200223616,0.000669084090713785,0.00130224751675981,0.00338698932752394
ck,1976,0.000472035347978405,0.000140474371284188,0.000273407190085891,0.000711099251848309
ck,1977,0.00337583573506831,0.00100462476904189,0.00195531492814981,0.00508553919923744
ck,1978,0.00012304238928347,3.66165422778689e-05,7.12672770366066e-05,0.00018535762488937
ck,1979,0.00151453995536199,0.000450716347674858,0.000877235391886958,0.00228158385545642
ck,1980,0.00136912622257243,0.000407442252255559,0.000793010428116423,0.00206252484422353
ck,1981,0.00246532205437063,0.000733662356185663,0.00142793707807892,0.0037138927750561
ck,1982,0.00210290628957204,0.000625809995294486,0.00121802255298928,0.00316793031629105
ck,1983,0.00639372997403924,0.00190272868782089,0.00370330686855676,0.00963185621697852
ck,1984,0.000821028306673339,0.000244332200290507,0.000475547103135175,0.00123684087880725
ck,1985,0.000604026274664309,0.000179753934818629,0.000349857541816069,0.000909937431275088
ck,1986,0.000143176598438947,4.26083401051565e-05,8.29291950971423e-05,0.000215688872598539
ck,1987,7.82997022712994e-05,2.33014359950075e-05,4.53519035687497e-05,0.000117954852202326
ck,1988,7.15882992194737e-05,2.13041700525782e-05,4.14645975485711e-05,0.00010784443629927
ck,1989,5.14540900639967e-05,1.53123722252906e-05,2.98026794880355e-05,7.75131885901001e-05
ck,1990,0.000210290628957204,6.25809995294486e-05,0.000121802255298928,0.000316793031629105
ck,1991,0.000239373375515115,7.12358186133085e-05,0.000138647248053035,0.000360604833875683
ck,1992,0.000239373375515115,7.12358186133085e-05,0.000138647248053035,0.000360604833875683
ck,1993,0.00015436227019199,4.59371166758718e-05,8.94080384641065e-05,0.0002325395657703
ck,1994,3.80312839603454e-05,1.13178403404322e-05,2.20280674476784e-05,5.7292356783987e-05
ck,1995,1.56599404542599e-05,4.66028719900149e-06,9.07038071374993e-06,2.35909704404652e-05
ck,1996,4.47426870121711e-05,1.33151062828614e-05,2.5915373467857e-05,6.74027726870435e-05
ck,1997,8.94853740243421e-05,2.66302125657228e-05,5.18307469357139e-05,0.000134805545374087
ck,1998,0.000315435943435806,9.38714992941729e-05,0.000182703382948392,0.000475189547443657
ck,1999,0.000458612541874753,0.000136479839399329,0.000265632578045534,0.000690878420042196
ck,2000,0.0188747025160844,0.00561697758542508,0.0109324002974155,0.0284338596580293
