variable,year,mean,sd,lower,upper
b_t,1957,153043.684025218,388439.72862946,36481.4235822603,394028.015821898
b_t,1958,112804.946548258,204580.085903372,21715.6533932379,332158.808048763
b_t,1959,80152.9110348901,176860.184849043,14724.702757967,229617.599275638
b_t,1960,88172.4311772149,200129.903553812,16752.1020266735,250183.116632229
b_t,1961,163509.751183825,468186.185610626,32536.6004359821,457515.278104033
b_t,1962,306991.218684579,762635.740852371,60925.4671689003,797537.68765692
b_t,1963,295208.123282734,597032.033179148,60410.2379637458,822014.302407802
b_t,1964,280598.292077067,646358.696625064,55431.8869444151,733254.049866385
b_t,1965,236868.695103991,549258.906478059,45945.6069088022,639236.693343613
b_t,1966,225585.727951471,778216.328124403,36511.3036902983,596194.313711299
b_t,1967,151419.910813235,327940.763165595,28564.728394102,427859.434820356
b_t,1968,140437.029889523,264447.67392179,23622.0174633906,398624.039329935
b_t,1969,116169.609938544,223410.383858845,20460.7343957285,344431.702699689
b_t,1970,86425.2950453874,217322.712515004,16621.9472135751,249388.467412545
b_t,1971,56118.608577414,167575.701744765,9550.41310389326,158724.200803325
b_t,1972,27210.4411239978,65187.0682712319,4960.38309813715,80237.1722919359
b_t,1973,27566.9584902282,58111.2486889363,5085.23080258739,78242.5096096905
b_t,1974,131981.67306628,348788.104307582,26621.7578820931,347508.080482492
b_t,1975,240780.669602604,531576.071129814,49534.0366686928,669847.916171783
b_t,1976,231042.717351143,529881.215815534,45934.5388308907,665015.198120545
b_t,1977,225321.785170836,476179.214405466,43659.5326262926,649822.105535993
b_t,1978,147606.184845064,262146.900334593,27865.9178170166,432905.436587657
b_t,1979,116164.209065089,240626.299610923,22138.8321463856,305534.944836141
b_t,1980,129507.974074487,276880.483486114,25705.9417974985,363743.789435797
b_t,1981,151563.543278792,280800.273679242,30057.9508589271,414019.096240787
b_t,1982,151841.431414848,423370.071239821,25509.7913246901,393400.78541679
b_t,1983,119650.361515353,273094.147223045,20767.8264712084,344176.833939382
b_t,1984,104257.292149786,229109.007106561,17898.7792332179,302686.388248041
b_t,1985,73526.112257042,153757.669860833,13649.9660690401,207877.439831442
b_t,1986,46486.5618356771,129001.132278419,8044.68811248557,131772.548118755
b_t,1987,33517.0837025607,74061.0439441287,6644.57987829261,94061.5901255171
b_t,1988,50567.7059661063,113690.335784208,10376.8126501246,132314.596184489
b_t,1989,67992.8105140886,127571.093040309,13699.468249684,186958.118571159
b_t,1990,89478.2444334143,189913.357168084,18418.3995162706,250634.376991365
b_t,1991,83062.3840045146,173636.542713837,15769.3878038633,233737.266988828
b_t,1992,84238.5097085735,163211.692248982,15944.2562954701,240917.624035575
b_t,1993,100772.499976614,196781.111005703,19574.6710122079,278429.425856964
b_t,1994,84321.2079749767,173717.904274022,16261.1182434474,227135.371509158
b_t,1995,89328.7802149004,234451.304546156,17125.0871080246,233328.242834409
b_t,1996,98570.9946491555,266373.988719225,19462.8735540485,272025.656362601
b_t,1997,87065.6934566397,224005.721328779,17119.8834292712,227969.019567281
b_t,1998,86531.5801477025,223994.760783147,13961.11648807,242316.195870088
b_t,1999,64140.2520253392,142598.472723694,12019.0845359352,177383.19256261
b_t,2000,56410.7376288475,123142.512806137,10801.569292455,157410.444559143
b_t,2001,66353.1203287179,142388.228130752,13286.9640436788,182043.512546853
b_t,2002,57288.2932442329,109379.826482889,11363.5050531349,154787.869232616
b_t,2003,47878.5124894761,96836.6749068439,9088.98402848777,139027.184338726
b_t,2004,30379.0290753392,66145.5838572271,5738.30270988832,89461.5508939444
b_t,2005,36763.9810830399,87747.0499537451,7922.32749333438,100103.221678182
b_t,2006,45704.9009990778,88870.5112267764,9710.24400798294,137240.881363564
b_t,2007,53775.6060275175,98275.0988905701,11241.0911810362,152470.269245376
b_t,2008,71686.3445522777,141259.183303662,13809.0463073666,196690.994774215
b_t,2009,85637.4153320279,201250.087439548,16727.8668261411,235560.815215958
b_t,2010,84848.3633103254,238242.784738774,16103.0561613176,224126.561049357
b_t,2011,63131.846321783,119829.093382201,12344.1161437122,182347.31401182
b_t,2012,46235.099682555,108616.080631448,8991.95972467888,132790.423981893
b_t,2013,66359.3428771661,185564.782802116,12259.6938798694,180687.99003218
b_t,2014,73212.4427468408,149062.298700021,13827.8311589585,207305.701927782
b_t,2015,72142.7502362966,142134.061836086,11386.1255076507,216215.152446986
b_t,2016,90100.4440171872,215694.871884867,9664.1865471567,265965.180967463
b_t,2017,110106.514531101,310491.627132124,7789.31266665334,330334.93257878
b_t,2018,115629.484930158,301586.321855051,6252.46009963503,354946.543711264
b_t,2019,114534.560883036,292726.527394208,3607.79230659202,352821.351688719
b_t,2020,119503.748767298,317330.501113589,1154.68406221879,367383.827305547
b_t,2021,123040.806764523,352146.43635452,4.18326448040178e-06,375379.611807347
bmsy,1957,103634.743073771,237326.912946536,27054.5522914835,263561.928568994
ck,1957,0.00642818528603881,0.00374915495231729,0.00132796240407633,0.0129368372325998
ck,1958,0.0091831218371983,0.00535593564616755,0.00189708914868047,0.0184811960465712
ck,1959,0.00459156091859915,0.00267796782308378,0.000948544574340235,0.00924059802328559
ck,1960,0.00459156091859915,0.00267796782308378,0.000948544574340235,0.00924059802328559
ck,1961,0.0137746827557975,0.00803390346925133,0.00284563372302071,0.0277217940698568
ck,1962,0.0982594036580218,0.0573085114139928,0.020298853890881,0.197748797698312
ck,1963,0.0909129061882632,0.0530237628970588,0.0187811825719367,0.182963840861055
ck,1964,0.0762199112487459,0.0444542658631907,0.0157458399340479,0.153393927186541
ck,1965,0.0413240482673924,0.024101710407754,0.00853690116906212,0.0831653822095703
ck,1966,0.0385691117162329,0.0224949297139037,0.00796777442445798,0.077621023395599
ck,1967,0.0238761167767156,0.0139254326800356,0.00493243178656922,0.0480511097210851
ck,1968,0.0247944289604354,0.0144610262446524,0.00512214070143727,0.0498992293257422
ck,1969,0.0229578045929958,0.0133898391154189,0.00474272287170118,0.046202990116428
ck,1970,0.0170714234953516,0.00995668436622548,0.003526688727397,0.0343565434505758
ck,1971,0.0161255619461202,0.00940502299467023,0.00333128854508291,0.032452980257779
ck,1972,0.00266310533278751,0.00155322133738859,0.000550155853117337,0.00535954685350564
ck,1973,0.0026906546982991,0.00156928914432709,0.000555847120563378,0.00541499044164536
ck,1974,0.0657144198669911,0.038327075483975,0.0135755699479574,0.132251438909263
ck,1975,0.0807655565581591,0.0471054540080436,0.0166848990626447,0.162542119229594
ck,1976,0.0631064132652267,0.0368059897604634,0.0130367966297322,0.127002779232037
ck,1977,0.0969921328444885,0.0565693922948217,0.0200370555883631,0.195198392643885
ck,1978,0.0330592386139139,0.0192813683262032,0.00682952093524969,0.0665323057676563
ck,1979,0.0398455656516034,0.023239404768721,0.00823146981612456,0.0801899096460724
ck,1980,0.0450156632459461,0.0262547965375134,0.00929953100683167,0.090594823020292
ck,1981,0.0608932809024619,0.0355152092697371,0.0125795981449002,0.122548810984814
ck,1982,0.0440238860875287,0.0256763554877273,0.00909464537877418,0.0885988538472623
ck,1983,0.0406536803732769,0.0237107271055838,0.00839841366120844,0.0818162548981706
ck,1984,0.0364478105718401,0.021257708579639,0.00752954683111279,0.073351867108841
ck,1985,0.028339113989594,0.0165284174040731,0.00585441711282793,0.0570329709997187
ck,1986,0.0176958757802811,0.0103208879901649,0.00365569078950727,0.0356132647817427
ck,1987,0.0139675283143786,0.00814637811782085,0.002885472595143,0.0281098991868348
ck,1988,0.0184121592835826,0.0107386509705659,0.00380366374310434,0.0370547980733752
ck,1989,0.028339113989594,0.0165284174040731,0.00585441711282793,0.0570329709997187
ck,1990,0.0513244679481013,0.0299343243264305,0.0106028312519751,0.103291404704286
ck,1991,0.0400935099412078,0.0233840150311675,0.00828269122313893,0.0806889019393298
ck,1992,0.0399833124791614,0.0233197438034135,0.00825992615335477,0.080467127586771
ck,1993,0.0488450250520578,0.0284882217019652,0.0100906171818314,0.0983014817717121
ck,1994,0.0361998662822357,0.0211130983171925,0.00747832542409841,0.0728528748155836
ck,1995,0.0348958629813536,0.0203525554554367,0.00720893876498579,0.0702285449769705
ck,1996,0.0424719384970422,0.0247712023635249,0.00877403731264718,0.0854755317153918
ck,1997,0.047697134822408,0.0278187297461943,0.00985348103824637,0.0959913322658907
ck,1998,0.042462755375205,0.0247658464278788,0.0087721402234985,0.0854570505193452
ck,1999,0.0284860439389891,0.0166141123744118,0.00588477053920682,0.0573286701364638
ck,2000,0.0230771851768793,0.0134594662788191,0.00476738503063402,0.0464432456650334
ck,2001,0.0458696935768055,0.0267528985526069,0.00947596029765895,0.0923135742526231
ck,2002,0.037696715141699,0.0219861158275178,0.00778755095533333,0.0758653097711747
ck,2003,0.0335918596804714,0.0195920125936809,0.00693955210587316,0.0676042151383574
ck,2004,0.00854948643043162,0.00498637608658199,0.00176618999742152,0.0172059935193578
ck,2005,0.0230680020550421,0.0134541103431729,0.00476548794148534,0.0464247644689868
ck,2006,0.0235179750250649,0.0137165511898351,0.00485844530977069,0.0473303430752688
ck,2007,0.0220119430437643,0.0128381777438636,0.00454732268938709,0.0442994269236311
ck,2008,0.0379630256749778,0.0221414379612567,0.00784256654064507,0.0764012644565253
ck,2009,0.0483675027165235,0.0282097130483645,0.00999196854610004,0.0973404595772904
ck,2010,0.0514805810193337,0.0300253752324153,0.0106350817675027,0.103605585037078
ck,2011,0.0571190178273734,0.0333139197191622,0.0117998945047925,0.114953039409673
ck,2012,0.0252034727564297,0.0146995956861396,0.00520664274338694,0.0507224372412446
ck,2013,0.0360529363328405,0.0210274033468538,0.00744797199771953,0.0725571756788385
ck,2014,0.0441245331028644,0.0257350565424093,0.00911543747584372,0.0888014077559327
ck,2015,0.0330959711012627,0.0193027920687879,0.00683710929184442,0.0666062305518425
ck,2016,0.0282564658930592,0.0164802139832576,0.00583734331048981,0.0568666402352995
ck,2017,0.0284125789642916,0.0165712648892424,0.00586959382601738,0.0571808205680913
ck,2018,0.0326643643749144,0.019051063093418,0.00674794610185643,0.0657376143376537
ck,2019,0.0333530985127042,0.0194527582668806,0.00689022778800747,0.0671237040411466
ck,2020,0.0450064801241089,0.0262494406018672,0.00929763391768299,0.0905763418242454
ck,2021,0.0516917928215892,0.0301485617522772,0.0106787148179224,0.104030652546149
crashed,1957,0,0,0,0
delta,1957,100,0,100,100
dep_t,1957,0.72157700897695,0.0768822411504982,0.604511355463298,0.849125741066137
dep_t,1958,0.547947976294689,0.241253801030566,0.289846751933071,0.972854883803466
dep_t,1959,0.377910529648524,0.155526025117093,0.187204841018321,0.670012415083557
dep_t,1960,0.418393601162114,0.163735940949448,0.204821809976305,0.691117608764737
dep_t,1961,0.763868983836137,0.273294723854832,0.418554058796718,1.264554448139
dep_t,1962,1.41359109097112,0.39134881866179,0.837045632947879,2.06161542966494
dep_t,1963,1.41328690411982,0.397162443067904,0.82301180807183,2.08297506307213
dep_t,1964,1.31767105893757,0.406956443877454,0.721213151894655,2.01836027047093
dep_t,1965,1.11273606111325,0.403292319832155,0.585761048783638,1.84537502019576
dep_t,1966,1.00133915197713,0.396491288850064,0.50182377888893,1.71176321720741
dep_t,1967,0.711736432220135,0.270190448330499,0.367367961518181,1.18521518087404
dep_t,1968,0.672590819224956,0.289609591944729,0.320842580392954,1.18894729605814
dep_t,1969,0.55216750066216,0.231892596322902,0.261456108446296,0.969664428461834
