variable,year,mean,sd,lower,upper
b_t,1965,91517.349672168,65800.9563197294,32916.9998136989,203155.212985277
b_t,1966,93451.6309643498,67250.4729151847,30357.3861805242,218268.926716055
b_t,1967,95071.842536192,74082.6043088128,29064.070624722,223888.060611005
b_t,1968,96736.3649581587,79590.1155531224,27642.4439082364,238688.264116879
b_t,1969,97584.9686661446,82773.1487244904,28133.9745201585,243058.443668197
b_t,1970,97649.061550295,83531.0548601341,26089.6068931174,243543.593472253
b_t,1971,96809.3970007814,86093.8751228626,26707.1008382554,250433.829478807
b_t,1972,96655.9921421883,91115.7047108801,25663.9866460422,248646.199998635
b_t,1973,98070.0150508976,100664.386006746,24468.6969835861,249641.462777299
b_t,1974,97321.4919628236,103947.410339867,25121.7433659265,245808.953852174
b_t,1975,93782.5511682766,99297.322413706,23365.6636488205,236949.61653114
b_t,1976,87787.8898208364,94643.0536603689,19730.8306296034,231633.999917373
b_t,1977,86280.8732061931,95318.5740232928,18690.6822435123,224984.579529485
b_t,1978,83467.0349728824,97036.9076158817,16874.3938228773,218909.249933563
b_t,1979,79895.0336417004,88265.9716995495,15459.5177362768,212611.591306192
b_t,1980,81177.170811507,95852.7311449254,14606.9648300885,220578.581805712
b_t,1981,79975.6227919985,99263.1266145118,15335.6469983125,211140.53434387
b_t,1982,79884.3316359731,101916.541513924,15343.4103036478,211202.010077145
b_t,1983,79255.444452478,102755.654426562,15429.3579238063,205667.70192661
b_t,1984,78622.5558467107,98498.7679224867,14493.7199619362,208873.077899383
b_t,1985,79359.637045314,102438.337590175,14193.0078994944,218980.132915486
b_t,1986,78668.7753154632,96029.8008001998,14653.340300332,210908.696101923
b_t,1987,76530.5719214513,86493.2416632266,13755.9640187543,212469.503527216
b_t,1988,75137.3097241443,83411.564830832,13519.6484105745,209226.768657248
b_t,1989,74532.119661474,83950.951446694,13568.9784723982,209132.035054563
b_t,1990,73710.4242898062,84095.2816223701,12874.666851292,210239.28212032
b_t,1991,71799.831768421,77393.0371734318,12850.8204078014,207010.900752633
b_t,1992,71555.0135830937,78696.1920552792,12298.7446849824,209065.210933038
b_t,1993,68830.0071989541,72536.8634211524,12891.0789516706,191835.669804913
b_t,1994,67751.9308519287,73341.9528960862,12050.7229572392,189023.961484194
b_t,1995,66272.0645569197,72082.1056594416,11562.9149096971,192543.081217779
b_t,1996,64657.390158579,69587.1207717653,11684.8423611757,194312.670448864
b_t,1997,63231.4377057038,67329.1673263261,11517.0224081584,179096.945061693
b_t,1998,61043.0633009776,60787.5943817188,12380.5361445537,164602.654029402
b_t,1999,59434.9206729764,60511.7039383544,12576.0543662831,158546.77827391
b_t,2000,57712.9824320694,55693.9799919422,13434.5662758897,149454.033356963
b_t,2001,55330.2737666277,50428.730489073,13690.1018297831,143074.88149262
b_t,2002,52927.1633692864,47432.1824209537,14476.1061521523,131569.811433386
b_t,2003,63023.5752988033,57987.3260594157,17144.2603955652,157944.536729268
b_t,2004,59774.9944345452,51863.4320891469,16460.4801448969,146802.118438908
b_t,2005,65181.0294390485,55487.4743090277,17808.4502787835,157827.256616458
b_t,2006,56928.00071592,49472.6160619471,15364.1403448718,137294.529884513
b_t,2007,58930.1846946985,50322.9955155775,15895.7280773039,143803.852857883
b_t,2008,46877.9008759273,41033.5716755599,12784.2529862964,119458.258517747
b_t,2009,47743.6365515842,42281.4973734829,12480.276354431,117160.602385475
b_t,2010,66184.1146402744,56346.2144774001,18125.0675917083,162392.21378401
b_t,2011,66458.3756519399,57627.0292912757,17843.519442308,161999.620799731
b_t,2012,84385.9372778187,71849.2796273555,22602.4113871659,204178.315999499
b_t,2013,93443.5387887586,80210.6460632486,25670.0650809628,232771.336443348
b_t,2014,85381.5853893968,73504.6160503308,23216.437159364,202958.565110768
b_t,2015,72922.8301417134,60815.2063385404,19556.0535891155,176703.948193895
b_t,2016,48174.0049159991,41746.2091587339,12816.9190880875,118638.14769363
b_t,2017,47895.0664545926,40726.7781829395,13114.0660067179,117864.271951781
b_t,2018,50071.2955582975,42297.3638250025,14399.781510915,122567.07382246
b_t,2019,57567.9052824297,46324.3238392773,17626.0516211681,133432.279308584
bmsy,1965,60798.4595988412,43120.8417343459,22208.8304294362,133152.331148127
ck,1965,0.0114074291711845,0.00614385267969473,0.00375511835965825,0.0225135674918463
ck,1966,0.00684445750271067,0.00368631160781684,0.00225307101579495,0.0135081404951078
ck,1967,0.0125481720883029,0.0067582379476642,0.00413063019562407,0.024764924241031
ck,1968,0.0125481720883029,0.0067582379476642,0.00413063019562407,0.024764924241031
ck,1969,0.0182518866738951,0.00983016428751157,0.0060081893754532,0.0360217079869541
ck,1970,0.0193926295910136,0.010444549555481,0.00638370121141902,0.0382730647361388
ck,1971,0.0193926295910136,0.010444549555481,0.00638370121141902,0.0382730647361388
ck,1972,0.0148296579225398,0.00798700848360315,0.00488165386755572,0.0292676377394002
ck,1973,0.0148296579225398,0.00798700848360315,0.00488165386755572,0.0292676377394002
ck,1974,0.0387966666111983,0.0208952429636418,0.0127711575411977,0.0765686430397694
ck,1975,0.0602426334530251,0.0324456860014679,0.0198307800573552,0.118894149924441
ck,1976,0.0263397539562649,0.0141861558374151,0.0086705682924509,0.0519838273386732
ck,1977,0.0370285150896647,0.0199429457982891,0.0121891141954507,0.0730790400785332
ck,1978,0.0297733901367914,0.0160354554940032,0.00980085891870803,0.0587604111537189
ck,1979,0.0139512858763586,0.00751393182726666,0.00459250975386204,0.0275340930425281
ck,1980,0.0103351308290931,0.00556633052780343,0.00340213723385037,0.0203972921476128
ck,1981,0.0103807605457779,0.0055909059385222,0.00341715770728901,0.0204873464175802
ck,1982,0.0118295040505183,0.00637117522884344,0.00389405773896561,0.0233465694890447
ck,1983,0.0106659462750575,0.00574450225551457,0.00351103566628046,0.0210501856048763
ck,1984,0.00971912965384915,0.00523456248309991,0.00319936084242883,0.0191815595030531
ck,1985,0.00803083013651385,0.00432527228650509,0.00264360332519941,0.0158495515142598
