variable,year,mean,sd,lower,upper
b_t,1950,47234.4969762293,63574.4692706517,19202.715988507,110161.880393434
b_t,1951,43025.177269687,68565.8539843249,14903.5555765941,107858.098770831
b_t,1952,53084.5408976976,61801.9110813587,18240.1293019044,140595.302313955
b_t,1953,50621.4034739488,67502.33681038,18123.5231632845,132142.772485369
b_t,1954,44702.7322621935,60456.7064939157,15750.4923737405,112164.436048164
b_t,1955,51703.1896253804,70270.981911062,19266.4257323062,128435.886050413
b_t,1956,47123.2852917907,64513.3235719902,17018.2301467567,123433.704942672
b_t,1957,44053.5330620901,75129.5080056096,15158.238307384,112271.468458717
b_t,1958,45895.8850974896,72666.6837232185,15117.5685590039,116594.590321305
b_t,1959,67491.9996688206,105646.087966824,22592.6322224186,167408.486341566
b_t,1960,86053.4442654737,107434.204784097,30320.1001625639,207034.410187292
b_t,1961,73892.6015780821,108239.490210696,24963.4944046208,182865.228772188
b_t,1962,66216.0649442896,84136.7220584272,22756.9046558635,165282.830658119
b_t,1963,64744.7190795689,75104.7957600443,22959.079554562,161260.394374493
b_t,1964,70228.3028850006,92067.757760182,22353.2652122881,173357.503053621
b_t,1965,108650.714154645,147307.89958292,39647.1094667083,260679.455006574
b_t,1966,110778.815392141,151353.792956067,37510.7704650486,263818.30606036
b_t,1967,86562.4382176945,107749.699627007,28774.2985242436,218420.309697704
b_t,1968,61929.5479387645,91890.2401121908,20097.9834320358,151781.330357742
b_t,1969,56476.3743193644,63548.5563543927,17897.2524284491,146525.560340708
b_t,1970,39712.6849457038,46791.3018698668,12811.1553332846,103519.994481605
b_t,1971,35552.8860334635,45612.0974219213,12374.8679424608,90609.8511824499
b_t,1972,26075.2894541602,36715.3238953906,8225.52149689748,67825.0198086679
b_t,1973,24123.151116094,35625.2203649634,9242.87725208073,60969.8001615918
b_t,1974,32092.5608174982,41124.3063646118,10657.2519644515,80079.7934545192
b_t,1975,37196.0216866863,43313.674871949,12578.2990011714,90683.4271550936
b_t,1976,49685.6016130435,61426.1429355914,18329.4246009984,124604.425518659
b_t,1977,41990.2629020017,60571.2458961487,14094.686036278,110277.233622866
b_t,1978,35260.9348932364,47504.5109480188,12425.8765597063,89657.4376614911
b_t,1979,20870.9625382125,27121.0716011268,6944.27794106487,53293.2147060496
b_t,1980,14870.8490542311,18982.9820008464,5359.27519650459,38501.967168605
b_t,1981,12258.9591949185,14214.9310493655,4517.00551523529,32103.9919412857
b_t,1982,11465.9684263536,14484.4201392703,4290.96237509245,28534.9448561978
b_t,1983,11721.2461663919,14180.3343442958,4130.90669717906,29905.2932602045
b_t,1984,11208.4106063543,13627.6211756058,3696.76291395575,29189.9711485652
b_t,1985,8719.53622212762,10494.8075904073,2989.54327542906,21724.7735671573
b_t,1986,6763.89397072081,9112.64249388979,2559.36036660866,16320.2871080468
b_t,1987,5299.86936780589,8279.22829281263,1927.22975813706,13132.5400144422
b_t,1988,5561.05039660188,7066.01498603526,1983.89204027778,14634.6233223307
b_t,1989,4634.0415356178,6520.08779973242,1563.37296081553,11759.9288301092
b_t,1990,5224.58531997072,8076.47227165402,1769.17276325238,13038.5369139005
b_t,1991,5226.36813059476,7264.65599269541,1899.45857183645,12649.858700719
b_t,1992,4764.62189554671,5166.33362168027,1585.16336996428,11772.6866271261
b_t,1993,5814.94633432403,7586.38148415973,1903.27855402746,14828.7826970464
b_t,1994,7228.70694914338,9462.31065642894,2621.14208739454,17616.6830903247
b_t,1995,12974.2900894604,17517.798804572,4798.73912112045,32223.7643530907
b_t,1996,16830.3735720614,23353.4463338674,6241.9224829407,42562.3800883706
b_t,1997,16677.4015728204,20356.7848828832,6492.11991450884,41135.2484929307
b_t,1998,17050.8476638967,23090.1601926931,6308.23806752369,42777.4686793991
b_t,1999,15914.0459312334,23024.4246853729,5745.0183983563,39683.0525060544
b_t,2000,16144.9338240126,28745.6583740851,6019.60674180388,39711.600779698
b_t,2001,19245.341050592,39272.4726248865,7069.23016545442,47247.9633456133
b_t,2002,20701.3844524614,44581.1034809635,7602.24522163398,50422.5398289571
b_t,2003,22839.7397328235,28284.4214318019,8334.5633580653,55457.2590933099
b_t,2004,23217.0687780728,27714.8597511506,8868.34922508739,58510.2765341993
b_t,2005,25424.7833779928,27903.3195099133,9624.77267472488,62010.7701266935
b_t,2006,30185.7813691148,38342.1182744675,10828.0478050931,74517.4464423693
b_t,2007,39190.5730507927,42025.7299286126,13493.291927021,99912.1229139981
b_t,2008,45352.7445347871,50180.8207121544,17241.6079624688,114351.761611469
b_t,2009,49174.0590176219,55652.4256327831,18426.3321673779,122795.904085539
b_t,2010,49502.1417688074,69286.1512237658,17870.1006408189,120932.005951843
b_t,2011,41687.2070860932,50261.3821692813,16547.2529880914,98242.7956260566
b_t,2012,45269.8513578879,56899.1004402899,16857.7831023164,110459.457492009
b_t,2013,68284.6784108925,93195.6535863258,24136.8904589501,163764.642246305
b_t,2014,58074.5964796952,64055.1096032533,20283.7233482194,148595.673412635
b_t,2015,58285.4046520608,77531.9999853532,18758.0979491852,146364.576375192
b_t,2016,55208.6301901674,77365.1074487605,15535.3920995275,147949.484153142
b_t,2017,49081.5262537973,83878.2219492076,9083.5560912802,133203.822982154
b_t,2018,44126.3531481085,87005.1688388144,3034.72532768436,128303.5082783
b_t,2019,42388.5101477338,113717.229574082,8.97751885333766e-07,131897.686813987
b_t,2020,41089.986607648,96350.2233363492,2.964093777128e-07,130311.161604758
b_t,2021,40315.6617191415,101287.869867913,2.29664143739581e-07,135831.036599684
bmsy,1950,33257.4896314925,41927.9032842993,13790.9237822651,76659.5629638287
ck,1950,0.00637511585231059,0.00280886492950095,0.00195670391707081,0.0108767204051764
