variable,year,mean,sd,lower,upper
b_t,1950,307343.579586563,331566.650335059,63005.2995671169,851917.873927055
b_t,1951,246261.934253942,263518.738932932,67771.7372285024,674427.499987605
b_t,1952,378981.376629771,447027.900691487,73196.4671479389,1075153.49908025
b_t,1953,495580.072252071,562280.051342009,94684.3087504827,1430340.42952663
b_t,1954,542120.925332449,616345.73347048,148395.202347182,1445805.50105063
b_t,1955,523006.054091278,630987.61174876,95021.6108603756,1489205.73849039
b_t,1956,411746.428901044,446494.643430646,104434.453164035,1175660.74396294
b_t,1957,527541.121895477,582014.992961407,115503.588733113,1458366.65945781
b_t,1958,485263.578039562,519598.329338959,143709.4041236,1334060.40978807
b_t,1959,551329.493617186,580776.129328573,129493.425716774,1523119.50844037
b_t,1960,575153.43929448,769639.940145289,101090.509072719,1565538.30599329
b_t,1961,474117.469360188,629909.603286943,81361.1267134616,1344264.88873103
b_t,1962,353756.635473558,391744.774823767,103992.100515147,996549.209802074
b_t,1963,346827.121835121,370943.766777384,102939.76226065,955729.892142624
b_t,1964,381413.388395521,428816.711026596,73341.5538717786,1106977.83733791
b_t,1965,391788.445449115,461141.445391447,83599.2365669997,1054813.97029272
b_t,1966,591945.795301231,657825.824170901,49031.7523210268,1740461.07402769
b_t,1967,472029.075624344,528227.397352799,54152.2788188152,1383352.85171441
b_t,1968,552491.916199731,591743.404036626,92086.5119750381,1502489.3650121
b_t,1969,557104.185808962,653029.684079399,151659.250175689,1475430.54789179
b_t,1970,603020.802555936,667163.078576023,81839.8673694081,1723610.25865115
b_t,1971,518280.564047541,601415.395014557,63966.7339162727,1441708.27963334
b_t,1972,527245.687679503,642471.668706083,112769.177623146,1465783.87026879
b_t,1973,377411.236894361,419333.976130624,78272.2610713624,991799.590769126
b_t,1974,585985.851410358,672939.792749183,105985.630831443,1735249.23716679
b_t,1975,489941.197276001,576411.79846832,111344.091691498,1285876.31667476
b_t,1976,416384.091709726,486619.352070163,126874.666075824,1169992.51658271
b_t,1977,419020.614854839,466715.57990315,90257.3060906097,1117115.73299859
b_t,1978,389942.688366346,494277.842252019,49332.6851558259,1069635.85455431
b_t,1979,197329.691548539,259013.442761304,39127.1914439366,549834.399153386
b_t,1980,172112.705135271,209344.589589692,45508.313218744,469858.168568143
b_t,1981,156819.769495568,176030.175146802,37375.5039090304,434079.816869981
b_t,1982,220280.91888212,265886.398093061,52393.4188222681,592759.142676482
b_t,1983,237529.002859314,264173.92550473,53809.6982111237,672724.908691041
b_t,1984,141729.225651194,154752.521983546,28643.7779423885,388767.016822031
b_t,1985,107942.240236566,124716.288328854,31422.2153271679,303326.801733549
b_t,1986,65768.8415432328,74425.8910758261,18948.0404679593,170034.185009345
b_t,1987,39192.7559648957,45691.6926089167,9386.5252073046,109097.206405275
b_t,1988,42961.4038891473,49113.8596250868,11470.6973038037,110725.529413096
b_t,1989,39939.652038354,46612.2714620833,10580.7321067949,108706.896369562
b_t,1990,36766.3883741395,40180.2660264447,10854.360966893,96500.9973362104
b_t,1991,31913.8035675127,33952.9295367078,8851.45929556952,90269.1528598328
b_t,1992,33843.3915912687,37444.1027474922,6920.87123826468,91881.9463753075
b_t,1993,43795.1705915798,51341.2139923685,10678.1674732118,121338.914506968
b_t,1994,34520.6257424286,38595.340622016,6765.26572111485,97294.5057342343
b_t,1995,28145.8137158519,32600.5248876442,6285.57272435965,74301.1526381679
b_t,1996,47935.0054794723,55737.4181725865,14039.8629643624,130330.564647977
b_t,1997,50897.5944776403,62243.9913853836,14034.5205499138,140204.023428854
b_t,1998,54915.2778711402,71837.4276491657,15604.8435885517,155703.687442494
b_t,1999,34759.6155554876,38942.7691852061,8826.86354624831,96929.6627862961
b_t,2000,30569.4574135471,33476.5115435319,8863.47220301896,80353.1446899632
