variable,year,mean,sd,lower,upper
b_t,1950,253790.698944862,152642.121405532,153717.211195691,411238.392362917
b_t,1951,243561.533276428,167307.054714782,133254.446621617,413192.12086059
b_t,1952,254456.102860918,182643.978249688,141970.266479611,439194.436151732
b_t,1953,231169.299135705,160709.19911925,126534.726277091,409047.381784801
b_t,1954,217746.238162598,152242.611050323,120282.068823016,378273.579956418
b_t,1955,259792.005683476,180067.04161032,144641.46083025,459878.489130478
b_t,1956,250606.769027291,189375.204217688,140435.813729649,437114.441315977
b_t,1957,250890.191299505,180594.456351617,143139.376838808,438487.6074981
b_t,1958,245662.294236731,173794.545534126,137336.484776529,428884.301178118
b_t,1959,269037.426231642,188259.991225793,149757.575430615,474302.300503494
b_t,1960,302940.103528693,240062.525445297,160655.60614745,528740.990335929
b_t,1961,305579.202706386,235482.788194877,164882.272794801,533619.899197705
b_t,1962,263045.174661325,182107.154246844,146267.941439242,451115.573131805
b_t,1963,297232.289991103,207120.229472677,165200.081459614,514951.450332219
b_t,1964,311930.542825441,210521.444423401,173874.974058568,549254.668554179
b_t,1965,392604.886735681,284017.410269249,221619.21081222,677248.317307245
b_t,1966,382879.255454652,271905.334253803,215257.173000606,654912.69215686
b_t,1967,310030.844454676,229445.217061715,173323.623366699,545611.679405997
b_t,1968,320934.493452192,220972.811804055,177752.606429584,572083.819140616
b_t,1969,303384.65698793,216410.303411656,164320.1998635,526910.132813526
b_t,1970,344530.12781361,234959.870560311,188049.926693173,582508.958522023
b_t,1971,392158.626057764,267483.689993562,220343.494760466,666017.0690166
b_t,1972,386913.622269417,253998.0451045,217538.156738174,664488.987027923
b_t,1973,301717.82105924,193437.064376056,170691.123654439,520884.979198854
b_t,1974,389275.964506669,265977.626863083,218462.881698833,689249.978529328
b_t,1975,429077.48372648,300534.147826564,237770.206778107,745075.846840031
b_t,1976,382731.172255578,268760.755479483,213661.62526808,644771.41847658
b_t,1977,334688.064684023,231396.102069072,185913.412093997,576281.275868838
b_t,1978,402590.20604094,316335.995051035,217858.429612515,685854.878792515
b_t,1979,295740.880621979,203571.982321998,168712.37230341,514074.107624968
