variable,year,mean,sd,lower,upper
b_t,1958,199440.292559395,307474.771892191,34038.9788462564,605965.524005541
b_t,1959,196373.919163676,311534.39134396,31127.642684589,590149.899536913
b_t,1960,273460.064233485,459170.487177756,40508.8198598248,821470.622813938
b_t,1961,277382.21890864,438009.165858192,41479.1110325587,856347.526238241
b_t,1962,212700.415132619,342860.165545113,32508.3949305254,655083.234804429
b_t,1963,207487.908580855,325728.002254317,32407.8494441651,638328.106708733
b_t,1964,268816.279530181,427058.824445734,41584.3248362369,823792.211035301
b_t,1965,325814.069095413,508386.324963113,49965.6112528171,1017473.92488639
b_t,1966,306365.509030475,470246.857007556,47037.2740655138,929900.759869753
b_t,1967,319992.018139298,498459.137113223,50442.0362439671,992385.468905234
b_t,1968,272153.798238304,424285.11646057,43241.0068637651,824860.104725612
b_t,1969,273783.001592293,434467.719389861,41339.1321996124,853356.734116353
b_t,1970,288021.773264238,458108.074191293,44365.1596862364,922882.273090177
b_t,1971,270260.965437391,436686.526586153,40383.969149143,834860.684609398
b_t,1972,253771.220172335,416570.99824418,35932.4778566479,776242.470945299
b_t,1973,153073.177834585,249656.031896732,23393.6698525993,468582.100498878
b_t,1974,184561.4728952,301304.717642874,28591.2184244605,563031.043647066
b_t,1975,272272.477060457,436353.259599968,40238.4932377255,847617.163230237
b_t,1976,268118.403693881,454420.408932968,40388.1797056155,785877.616087787
b_t,1977,243691.606739787,381565.113754413,38075.3737142137,717148.762652392
b_t,1978,310338.014717131,499159.766550884,45114.1295970889,994828.09980942
b_t,1979,216515.53836093,365687.11337374,32047.9875987507,671226.858989494
b_t,1980,209293.554720574,355299.857808451,30554.1663556136,612686.269039145
b_t,1981,197158.60029089,297568.194801833,29799.0313758058,626790.142182488
b_t,1982,237321.842116161,380506.548985079,34845.0983700258,757807.639300626
b_t,1983,195090.569070217,312513.178458776,31062.2723527082,585129.148335657
b_t,1984,217364.794740662,335928.263171688,32751.4185013197,688091.352841844
b_t,1985,198385.538251126,309495.309185973,30753.5775961677,587396.730309804
b_t,1986,183913.677818407,299604.284162294,26356.5716811652,574884.854346512
b_t,1987,155364.432845501,242043.390888602,23920.0387262074,482022.763516555
b_t,1988,214083.13985308,349933.0104898,31039.1262001559,636585.728183442
b_t,1989,231253.355054464,369509.519469407,35613.147352694,742189.295626818
