variable,year,mean,sd,lower,upper
b_t,1965,78771.1260649328,811.230036616401,77305.5763813915,79930.448998691
b_t,1966,349048.387541727,3697.63458315376,342166.416775834,354622.134383723
b_t,1967,170030.220465406,2623.07886397098,164381.828849122,173157.753757233
b_t,1968,46232.9919755383,2314.76793558939,42311.6346936157,49019.6943762143
b_t,1969,226457.770201947,12308.3466573636,205900.953764104,242563.723858986
b_t,1970,141277.225933229,4066.08914437417,133823.146561253,146921.775252279
b_t,1971,249310.327248338,6064.62505544474,238131.524161132,257878.255418027
b_t,1972,237581.025051687,3860.17412704918,231133.091340572,242966.385782774
b_t,1973,342788.402398255,11558.1763701598,319844.183349606,358022.109613055
b_t,1974,138040.327009094,1572.9427181689,135519.603514242,140381.005943291
b_t,1975,47241.0380721621,554.191617390888,46371.6504319019,48004.5596613633
b_t,1976,129290.002765235,1458.52624633787,126937.473486785,131338.818094743
b_t,1977,65481.7770690186,723.393563793293,64431.7086809886,66545.139994364
b_t,1978,294362.212493355,4671.89120372765,288628.94719122,302447.818158436
b_t,1979,416024.066227923,4647.73284008507,409817.182384162,424602.549891217
b_t,1980,86393.1531699007,937.857645621279,84628.9078986422,87898.3601411526
b_t,1981,43969.9471221511,393.664456684391,43178.9328240266,44604.1157063612
b_t,1982,262996.785161433,7209.19710254006,250524.25266557,274945.623287808
b_t,1983,34209.4918278938,334.570658096771,33603.5441591247,34716.4535446181
b_t,1984,48376.8299076101,432.910030768656,47618.6892764831,49061.2468306317
b_t,1985,136046.231155373,1312.17106252901,134189.080876864,138364.830635652
b_t,1986,641116.225526127,6105.38010344829,631756.091808388,651436.329898332
b_t,1987,32221.4771934939,3819.54017603371,24671.3399209249,37662.2261846883
b_t,1988,76037.9348118607,9090.5592406994,58031.1390343418,88714.5616569233
b_t,1989,81682.0128892414,8906.9361193551,63815.7607803013,93871.8768123338
b_t,1990,544691.056076078,53151.9962198801,441370.976101314,604628.558537786
b_t,1991,142813.080577455,33188.3582447873,97737.0896434568,199889.091028132
b_t,1992,110603.529002268,18718.8625380929,83136.4505842661,139785.887054222
b_t,1993,111863.473085981,15727.5845054251,88106.2245837516,136374.897511995
b_t,1994,360632.132123615,40385.5202603267,297266.166519619,420106.338520886
b_t,1995,591387.674171791,17851.9052072768,559229.965553899,616748.719794915
b_t,1996,143652.735317502,16137.693296052,122031.811871672,170751.772824721
b_t,1997,64071.3319590856,5466.78036091373,56524.3204380113,72799.2520817461
b_t,1998,27447.2805076223,2375.23070471141,24485.9077012092,31722.8372667591
b_t,1999,71496.1652666624,7393.74380008344,62691.3411221439,84785.9022853809
b_t,2000,85263.163413368,6038.19671888686,77978.0706795984,98436.7161407108
b_t,2001,70888.692146598,4308.47523993165,65544.7870654854,80106.8950900883
b_t,2002,65100.9946630896,3193.82797462512,61063.6830051227,72122.3881524142
b_t,2003,87646.8038151641,3278.74621871496,83018.9398632392,94414.0953963762
b_t,2004,73734.3186768035,2112.67052661,70773.3097841251,78100.4593063422
b_t,2005,150678.100356613,3369.05049751674,145817.463228911,157622.732228098
b_t,2006,116939.32657054,1697.39705085628,114279.642894824,120006.501605793
b_t,2007,38486.5823399029,377.102949544052,37884.8433533315,39149.6702886583
b_t,2008,58535.1330356641,313.89565840895,58000.0954396335,59002.6316011206
b_t,2009,27920.2021614198,276.640905627891,27454.8910100122,28307.2499938936
b_t,2010,3976.96146943665,3.81676847175138,3969.99335447353,3982.44756615718
b_t,2011,1.88860515195747,0.245524352407743,1.55279522952135,2.33175572222098
b_t,2012,0.443360541400856,0.122422228405658,0.275422603271718,0.666736757747146
b_t,2013,0.259698133779816,0.0718790918728489,0.1610842059641,0.390048769841007
b_t,2014,0.404682061697407,0.112432139006495,0.250625386658193,0.608082389831112
b_t,2015,0.85437485286203,0.238196154917516,0.530575558163401,1.28860179622923
b_t,2016,4.54545878663351,1.2709009557379,2.81935233041536,6.83202493598111
b_t,2017,82.3935459464438,23.023556795105,51.0976951921389,123.924616521091
b_t,2018,713.38749409079,199.836074652519,442.681768928355,1072.46666635999
b_t,2019,13623.9496873711,3912.17279491059,8369.5719754131,20692.8353384315
bmsy,1965,43032.3596581999,442.99549047256,42233.0310397306,43661.6390251212
ck,1965,0.0127824430229228,0.000132552172467723,0.0125968702158693,0.0130229819418957
ck,1966,0.0151065235725451,0.000156652567461855,0.0148872102551182,0.0153907968404221
ck,1967,0.0174306041221674,0.000180752962455987,0.0171775502943672,0.0177586117389486
ck,1968,0.0185926443969786,0.000192803159953052,0.0183227203139917,0.0189425191882119
ck,1969,0.0185926443969786,0.000192803159953052,0.0183227203139917,0.0189425191882119
ck,1970,0.017802457010107,0.000184609025655048,0.017544004700647,0.0181374621227129
ck,1971,0.0110277622079579,0.000114356374247154,0.0108676634862363,0.0112352816935082
ck,1972,0.029457720966463,0.000305472506550617,0.0290300599974806,0.0300120538388232
ck,1973,0.0385797371237306,0.000400066556902583,0.0380196446515327,0.0393057273155396
ck,1974,0.0600193801939966,0.000622392700723447,0.0591480315136044,0.0611488197544464
ck,1975,0.0254254412128683,0.000263658321235799,0.0250563200293836,0.0259038949898797
ck,1976,0.00644932352520196,6.6878596108715e-05,0.00635569360891586,0.00657068634341099
ck,1977,0.00921497937925253,9.55580661517315e-05,0.00908119825562212,0.00938838607265751
ck,1978,0.009888962738643,0.00010254718070003,0.00974539686700432,0.0100750523932302
ck,1979,0.0106559093200184,0.000110500311048093,0.0105012090799565,0.0108564313097439
ck,1980,0.0185810239942305,0.000192682657978082,0.0183112686137954,0.0189306801137192
ck,1981,0.0187437096327041,0.000194369685627671,0.0184715924165429,0.0190964271566161
ck,1982,0.0224157569011073,0.000232448309718399,0.0220903296785562,0.0228375746962879
ck,1983,0.0313169854061609,0.000324752822545922,0.0308623320288797,0.0319063057576444
ck,1984,0.0300736023121129,0.000311859111224062,0.0296370001078815,0.0306395247869327
ck,1985,0.00961007307268832,9.96551333007339e-05,0.00947055606229445,0.00979091460540701
ck,1986,0.0352214407295264,0.000365241486136063,0.034710103294818,0.0358842347871689
ck,1987,0.0252511351716466,0.000261850791611239,0.0248845445264399,0.0257263088724902
ck,1988,0.0235777971759185,0.000244498507215464,0.0232354996981807,0.0240214821455512
ck,1989,0.0244260865765307,0.000253295151388322,0.0240714738125066,0.0248857345835133
ck,1990,0.0240542336885911,0.000249439088189261,0.0237050194062267,0.0245068841997491
ck,1991,0.0111788274436834,0.000115922899921773,0.0110165355887875,0.0113891896619124
ck,1992,0.0113763742904013,0.000117971433496274,0.0112112144921237,0.0115904539282871
ck,1993,0.0160361557923941,0.000166292725459508,0.0158033462708178,0.0163379227998327
ck,1994,0.0158618497511724,0.000164485195834948,0.0156315707678741,0.0161603366824433
ck,1995,0.0154318948494922,0.000160026622761033,0.0152078578606131,0.0157222909262159
ck,1996,0.0335829639420426,0.000348250707665201,0.0330954135671475,0.0342149252837077
ck,1997,0.0278657257899717,0.000288963735979637,0.027461177070595,0.0283901006333325
ck,1998,0.0417753478794613,0.000433204600019514,0.0411688622055,0.0425614728010135
ck,1999,0.0417753478794613,0.000433204600019514,0.0411688622055,0.0425614728010135
ck,2000,0.0272382240415737,0.000282456629331222,0.0268427852599978,0.0277507906107304
ck,2001,0.0145371238378877,0.000150747970688293,0.0143260769455022,0.0148106821902832
ck,2002,0.0269128527646265,0.000279082574032043,0.0265221376545029,0.0274192965249367
ck,2003,0.0384751534989976,0.000398982039127848,0.0379165793497665,0.0391991756451059
ck,2004,0.00287023947878357,2.97639878177524e-05,0.00282856994847247,0.00292425139968021
ck,2005,0.00234732135511855,2.43413989440729e-05,0.00231324343964145,0.00239149304751175
ck,2006,0.00367204726840328,3.80786240907278e-05,0.00361873726201336,0.00374114753967184
ck,2007,0.000383473290687684,3.9765651740317e-06,0.000377906106476078,0.00039068945825687
ck,2008,0.0491775444300084,0.000509964358075823,0.048463595230508,0.0501029632528204
ck,2009,0.0544183460694068,0.00056431074878759,0.0536283120190144,0.0554423858489976
ck,2010,0.0519780614923033,0.000539005334043752,0.051223454977803,0.0529561802055448
ck,2011,1.16204027481116e-05,1.20501974970658e-07,1.14517001962448e-05,1.18390744926324e-05
ck,2012,1.16204027481116e-08,1.20501974970658e-10,1.14517001962448e-08,1.18390744926324e-08
ck,2013,1.16204027481116e-08,1.20501974970658e-10,1.14517001962448e-08,1.18390744926324e-08
ck,2014,1.16204027481116e-08,1.20501974970658e-10,1.14517001962448e-08,1.18390744926324e-08
ck,2015,1.16204027481116e-08,1.20501974970658e-10,1.14517001962448e-08,1.18390744926324e-08
ck,2016,1.16204027481116e-08,1.20501974970658e-10,1.14517001962448e-08,1.18390744926324e-08
ck,2017,1.16204027481116e-08,1.20501974970658e-10,1.14517001962448e-08,1.18390744926324e-08
ck,2018,1.16204027481116e-08,1.20501974970658e-10,1.14517001962448e-08,1.18390744926324e-08
ck,2019,0.00220787652214121,2.2895375244425e-05,0.00217582303728651,0.00224942415360016
crashed,1965,0,0,0,0
delta,1965,100,0,100,100
dep_t,1965,0.915254524836689,0.000139174966497228,0.915026965409591,0.915475590550239
dep_t,1966,4.0557148502609,0.0249656674370403,4.0214201223983,4.09088034296251
dep_t,1967,1.97561255750775,0.023118209296688,1.93613719457479,2.00215486694031
dep_t,1968,0.537252099406878,0.0277029804396022,0.491545503641709,0.579008834331505
dep_t,1969,2.63165436437465,0.148582727365158,2.39794785752604,2.86362482237226
dep_t,1970,1.64142756502476,0.0405312049753834,1.57754036653682,1.70471727511413
dep_t,1971,2.89664780288892,0.0577403361762626,2.7975539793584,2.98088733420826
dep_t,1972,2.76039068142529,0.0254225168132048,2.71657833681894,2.79629200358972
dep_t,1973,3.98243859342123,0.11264296942297,3.7735072382618,4.11012810104677
dep_t,1974,1.60390162471028,0.00496942182019342,1.59657854211928,1.61182653428882
dep_t,1975,0.548894923579623,0.00160905335396517,0.546477553721372,0.551602447562012
dep_t,1976,1.50222984284033,0.00358821288078493,1.49626347250364,1.50754954558195
dep_t,1977,0.760840423559001,0.00216875870316693,0.757392705792188,0.764283451560354
dep_t,1978,3.42044446195249,0.0554053551989968,3.33957241649923,3.50365085015715
dep_t,1979,4.83406033474663,0.0493657967026873,4.75727340855868,4.90315576380207
dep_t,1980,1.00382111042251,0.00467348589693559,0.996755035773884,1.01079707231747
dep_t,1981,0.510909368539098,0.00299086438234065,0.507089729441623,0.517231780357126
dep_t,1982,3.05564582220623,0.0713312965301898,2.95218814678066,3.16500282384993
dep_t,1983,0.397511115948687,0.00432630812476609,0.391817461919599,0.407141437800599
dep_t,1984,0.562127688563036,0.00498188423246803,0.554916271574036,0.570523225169542
dep_t,1985,1.58085798767315,0.0181495634121547,1.55645983970248,1.61205733140342
dep_t,1986,7.44967533942307,0.0755524343650078,7.32016909760813,7.5894510373992
dep_t,1987,0.374135853277026,0.0422068064758924,0.290748739827568,0.433061826842746
dep_t,1988,0.882888178091995,0.100406558760661,0.683742137343223,1.02035358818997
dep_t,1989,0.948483980972775,0.0978517811039148,0.752243906656545,1.08039572147762
dep_t,1990,6.32539969450129,0.580904925874777,5.21644755079933,7.0146386287387
dep_t,1991,1.6616820561744,0.396709726152068,1.13394365264283,2.34607811891176
dep_t,1992,1.28641669055658,0.225429178751484,0.964580723439134,1.63968684398286
dep_t,1993,1.3008032660421,0.190119410491708,1.02316697501341,1.59795437483813
dep_t,1994,4.19287166560984,0.491559290948641,3.45014974413518,4.93260393374932
dep_t,1995,6.8711268499871,0.184420101045254,6.55432181684415,7.10631081163354
dep_t,1996,1.66952060996842,0.190614978028518,1.41413091225738,1.99309090886539
dep_t,1997,0.744598661426218,0.064826405854504,0.654637133688193,0.850834451715326
dep_t,1998,0.319010750731626,0.0286086533154768,0.283621403442272,0.372927880086663
dep_t,1999,0.830949011682808,0.0880610534031949,0.72343621282964,0.999794098493918
dep_t,2000,0.991090698674615,0.0753820281121093,0.902269054133227,1.16230261419051
dep_t,2001,0.823955141104433,0.0542175264838152,0.758259321244225,0.945585551201942
dep_t,2002,0.75665700288834,0.0411697627621394,0.7062978459701,0.851601503554571
dep_t,2003,1.01866318167669,0.0439370909032385,0.960418266575471,1.11233008572231
