variable,year,mean,sd,lower,upper
b_t,1961,15646.6423439034,21344.6548026501,7396.89421236118,32537.5035469172
b_t,1962,11058.8264801599,17486.2225547128,3683.94513174073,26151.4780540946
b_t,1963,15865.1347625979,28534.7813724537,5676.44745720212,36104.8067032674
b_t,1964,22482.4995979033,33368.9557824049,8896.29264404875,51041.7888119645
b_t,1965,21588.6486272158,36197.8714508219,7305.05956486506,46937.4752148472
b_t,1966,27543.2085029346,45289.1077856608,10147.9755320989,60198.920252092
b_t,1967,28008.564263691,46295.5797722154,10373.8010569032,62920.9596398891
b_t,1968,29106.3285504873,50678.9336263059,11110.460174985,65365.6151583286
b_t,1969,31072.2277585901,46871.9309294153,10235.2104028571,72985.8235511407
b_t,1970,14000.4903060401,24349.5708661257,4675.16374925001,31823.5649085199
b_t,1971,13981.7353117976,22982.8191644309,4891.81814146408,32064.2754579148
b_t,1972,14634.2852762271,22508.9396936776,5256.48618451228,32675.6406292326
b_t,1973,16041.7603853651,31542.1589244725,5163.56846898087,35887.1815502633
b_t,1974,18974.2166200612,37935.0415917772,6729.65088095213,43231.1851087866
b_t,1975,16961.6692964713,28133.6833413464,5783.64385000434,41094.9065177937
b_t,1976,12197.2836764575,23335.0023594175,4121.10309292764,29178.6211746912
b_t,1977,10634.6067995252,19358.9803077014,3576.2859884544,23517.1820288932
b_t,1978,10126.7402818788,22281.319767666,2777.84957590064,24919.6210758854
b_t,1979,8431.65925842866,17223.4237654394,2999.70226122442,18601.3641780821
b_t,1980,8710.49634880003,17093.4243319167,3082.23684229007,19620.5615697171
b_t,1981,9445.44943167756,15088.4023843987,3488.09759283548,20878.8740693953
b_t,1982,12017.2381047146,19318.4358338731,4222.53350516493,27416.5056592438
b_t,1983,11231.1109270162,18597.5621602417,4136.32663166191,26221.7381965863
b_t,1984,14817.8808884383,27032.9275854822,5690.54877303801,35283.0411891654
b_t,1985,15087.3324057345,32432.0138488223,5620.58909447132,33091.6937492491
b_t,1986,13802.9465760515,25625.3895783884,5385.4138596694,32227.1287732145
b_t,1987,10942.1605647784,21443.458627265,4240.98336344966,22905.6631432501
b_t,1988,12909.7622355328,30823.4897076589,4728.06678678713,29163.129803157
b_t,1989,13676.348865476,27032.9916611172,4799.35986575518,30174.4327378148
b_t,1990,17083.4403608184,30055.5598744393,6080.303180313,38760.7786286125
b_t,1991,13359.9800509999,21747.9600022583,4875.85462979222,32059.03587956
b_t,1992,12385.4377892097,21581.3841882332,4736.57245193637,27047.0399463302
b_t,1993,13422.8164545616,24785.6352713814,4149.6040683795,29382.1460618518
b_t,1994,11418.4831850842,19909.5858223341,4198.89185583113,25492.1169226802
b_t,1995,9904.48178847486,16982.7661863818,3311.90543138583,23660.7787183778
